Прямой обмен товарами без денежных расчётов?; бартер
Ими питается синяя муха, а что попало есть не станет (им. п., мн. ч.) (Борис Сергеев “Тайны памяти”); сахары
Человек имеет 7–14 типов обонятельных приемников. Можно подсчитать, что 14 типов позволяют распознавать 16384 запаха. Кролик, вероятно, располагает 24 типами приемных устройств, а это животное – 25–35-ю (Борис Сергеев “Тайны памяти”); собака
Что такое корнишоны?; огурцы
В полуискусственном языке, который служит средством общения на бескрайних просторах Океании, нет слова “___” – приходится говорить “бензиновые спички” (Борис Сергеев “Тайны памяти”); зажигалка
В полуискусственном языке, который служит средством общения на бескрайних просторах Океании, нет слова “___” – говорят “черный ящик, по которому нужно ударять пальцами, чтобы получилась музыка” (Борис Сергеев “Тайны памяти”); рояль
Эта нация лидирует по скорости речи; итальянцы
Этот философ считал, что в человеческом мозгу находится восковая табличка, куда записывается все, что следует запомнить (Борис Сергеев “Тайны памяти”); Сократ
Общая длина молекул (чего?) ___ одной клетки человека, соединенных вместе, около двух метров; ДНК
Длина нити, составленной из всех молекул (чего?) ___ человеческого тела, достигнет 15 миллиардов километров; ДНК
При временной потере сознания, по какой бы причине она ни произошла, человек начисто забывает события, непосредственно предшествовавшие потере сознания. Это явление называется ретроградная ___ (Борис Сергеев “Тайны памяти”); амнезия
Библиотекари Кембриджа не смогли решить, облагать ли штрафом читателя или взыскивать оный с автора книги как с первопричины зла. Назовите то, за что собирались штрафовать (Борис Сергеев “Тайны памяти”); зевота
Пока не определено, что это такое. Сейчас ученые вынуждены ограничиться примерно такой формулировкой: особое периодически возникающее состояние, обеспечивающее восстановление способности мозга к бодрствованию. Назовите это (Борис Сергеев “Тайны памяти”); сон
Автора серии научно-популярных книг об устройстве и проявлениях мозга человека и животных: “Парадоксы мозга”, “Тайны памяти”, “Ум хорошо...” – зовут Борис ...; Сергеев
Выдающееся открытие – установление структурной формулы этого вещества, в частности того, что она кольцевая, по словам ученого Кекуле было совершено во сне; бензол
Для малышей этого животного может стать матерью любой предмет, покрытый мехом. Пока малыш держится за кусок меха, он так же храбр, как если бы рядом была мать, готовая в любую минуту прийти на помощь (ед. ч.); обезьяна
“Но если дали линованную бумагу, то пиши ...” Как? (С. Лукьяненко “Чистовик”); поперек
Когда каждый из нас был им, то отличался резвостью, целеустремленностью и хвостиком?; сперматозоид
– В армии тебя обязательно научат стрелять, – сказал прапорщик, отбирая у новобранца... Что?; сигареты
Слово “Божественная” было впервые добавлено к названию издателями через 200 лет после смерти Данте с целью “коммерциализации” книги, вышедшей из типографии Лодовико Дольчи в 1555 году, сам же Данте назвал ее просто... (Из книги “Лексикон популярных заблуж; комедия
Всеми правами на энциклопедию “Британика” владеет и издает ее общество “Энциклопедия Британика Инкорпорейтед”, штаб-квартира которого находится в городе ... (Из книги “Лексикон популярных заблуждений”); Чикаго
Главное достоинство этого оружия – не в том, что он возвращается к бросившему его, а в том, что он летит дальше, чем прямой кусок палки. Возвращение используется аборигенами прежде всего при тренировках и для того, чтобы спугнуть птиц (Из книги “Лексикон ; бумеранг
На самом деле эти животные практически не различают цветов. Некоторые зоологи полагают, что дразнить их было бы лучше полотнищем белого цвета (Из книги “Лексикон популярных заблуждений”); быки
Хотя принято считать, что национальный валовой продукт говорит о том, насколько хорошо мы живем, в этом месте он равнялся бы нулю (Из книги “Лексикон популярных заблуждений”); рай
Верблюды накапливают в горбах не воду, а ... (Из книги “Лексикон популярных заблуждений”); жир
Этот знаменитый концерт, который собрал рекордное число участников летом 1969 года, проходил ближе всего к городу Бесел. А в честь какого города, название которого звучит лучше, хотя он и находится чуть не в ста километрах от места концерта, последний был; Вудсток
Имеют ли змеи чувство слуха?; нет
Как правило, им удаляли только яички. Поскольку при этом все еще сохраняется способность к эрекции и, значит, к совокуплению, а для хранителя гарема это только усугубляет их незавидную участь, на Ближнем Востоке им нередко удаляли также половой член и мош; евнухи
Миф о “краснокожести” индейцев изобрел этот шведский ученый, который в XVIII веке разделил людей на “homo europaeus albescens, homo americus rubescens, homo asiaticus fuscus, homo africanus niger” (европейский белый человек, американский красный человек, ; Линней
Канарские острова названы так от латинского слова “canis”, т.е. ...; собака
Его кончик развивает скорость, превышающую 1100 километров в час, т.е. скорость звука, от чего и возникает щелчок (Из книги “Лексикон популярных заблуждений”); кнут
Выражение, связанное со слезами этого животного, используют, чтобы охарактеризовать притворное сожаление и раскаяние; крокодил
По мнению Вуди Аллена, это “верный способ сократить расходы”; смерть
Это слово, якобы имя дьявола, на самом деле в Библии в таковом качестве не встречается. В античности это слово использовали как название утренней звезды – планеты Венера. Ничего дьявольского при этом не подразумевалось. (Из книги “Лексикон популярных забл; Люцифер
Рекорд по количеству мостов держит этот европейский город, в котором их насчитывается 2123 (Из книги “Лексикон популярных заблуждений”); Гамбург
Огнеметы были известны еще за 900 лет до этого в Китае, где их использовали в XI веке во время осады и обороны городов. А в качестве воспламеняющейся жидкости они использовали ...; нефть
Слово “пинг-понг” для обозначения игры “настольный теннис” придумали в этой стране где-то в самом начале XX века. Оно чисто звукоподражательное и имитирует звуки целлулоидного шарика, скачущего по поверхности стола (Из книги “Лексикон популярных заблужден; Англия
Форма орбит планет Солнечной системы; эллипс
Суровыми зимами под кустарником и деревьями подчас находят замерзших мертвых птиц. Назовите причину смерти (Из книги “Лексикон популярных заблуждений”); бескормица
На самом деле он говорит, используя обычные органы речи. Однако при этом он стягивает нёбо, откидывает язык назад и сужает щель гортани таким образом, что почти полностью убирает резонансные оттенки речи. При этом рот не шевелится и кажется, что звук идет; чревовещатель
Он дает основную часть калорий в шоколаде (Из книги “Лексикон популярных заблуждений”); жир
В точном переводе Библии сказано следующее: “И ответила Ева змию: надо отведать плодов от деревьев в этом саду; только плодов от древа познания добра и зла в середине сада не ешьте, сказал Господь, иначе умрете”. Утверждения, что Ева откусила ... , в Библ; яблоко
Только 20% своего рабочего времени они тратят на ведение судебных дел (нередко они проигрывают их, теряя на этом деньги). 80% их рабочего времени уходит на консультации и разработку договоров (Из книги “Лексикон популярных заблуждений”); адвокаты
На самом деле те немногие “кровососущие” виды летучих мышей, которые известны науке, не сосут, а только ... кровь (Из книги “Лексикон популярных заблуждений”); лижут
Этот музыкальный инструмент пришел вовсе не из Шотландии, его знали еще в Древней Греции. В Персии, Китае, Древнем Риме (“tibia ultricularis”) он тоже был известен. В средние века французы называли его “cornemuse”, а итальянцы “cornamusa”. Назовите этот и; волынка
Это единственный материк Земли, на котором нет глетчеров (Из книги “Лексикон популярных заблуждений”); Австралия
Основная причина голодания людей – не недостаток пищи, а ее ... (Из книги “Лексикон популярных заблуждений”); распределение
Хотя плоды этого растения используют для приготовления каши или муки (реже – хлеба), его никак нельзя причислять к злаковым, которые входят в семейство трав. На самом деле оно относится к семейству горцевых (Из книги “Лексикон популярных заблуждений”); гречиха
Граф, который на самом деле не изобрел дирижабль, а единственной его (графа) принципиальной новинкой была жесткая оболочка, впрочем и эта идея не была абсолютно пионерской (Из книги “Лексикон популярных заблуждений”); Цеппелин
В последнее время ученые, применив метод так называемого ядерно-магнитного резонанса, получили удивительный результат: общее количество этой столь нелюбимой людьми ткани у мужчин и женщин примерно одинаково – 23%. Другое дело, что у женщин она скапливаетс; жир
Естественный цвет лица “краснокожих” (Из книги “Лексикон популярных заблуждений”); бледно-коричневый
Эти животные, переселяясь на новые территории, нередко пересекают водные преграды – реки и озера. Встретив на пути море, они воспринимают его как привычную водную преграду и не страшась идут на штурм, с опозданием осознав свою ошибку (Из книги “Лексикон п; лемминги
В этом море водятся различные микроорганизмы, которые питаются, в частности, целлюлозой, здесь живут морские рачки и один вид мух, яйца которых служат пищей для тропических рыб. Наконец, есть растения, так называемые галофиты, которые просто процветают в ; Мертвое
На всем известном портрете да Винчи изображена герцогиня Изабелла Арагонская, внучка неаполитанского короля и вдова герцога Миланского, которая, как и Леонардо, жила в конце XV века при миланском дворе, а вовсе не ... (Из книги “Лексикон популярных заблуж; Джоконда
За один час преподавания на фортепьяно он выставлял счет в 2 гульдена (для сравнения – его служанка получала 12 гульденов в год), за выступление на концерте он запрашивал, по его собственным словам, “не менее тысячи гульденов” (Из книги “Лексикон популярн; Моцарт
Больше всего пива варят не в Мюнхене, а в этом городе (6 миллионов гектолитров пива в год, а в Мюнхене на полмиллиона меньше) (Из книги “Лексикон популярных заблуждений”); Дортмунд
Самая южная точка Американского континента – полуостров ... , расположенный на 260 км к северу от Горна (Из книги “Лексикон популярных заблуждений”); Бурнсвик
“На том стою, и не могу иначе”. На самом деле, когда 18 апреля 1521 года он защищал перед рейхстагом в Вормсе свои “еретические” труды, то закончил речь как обычно: “Да поможет мне Бог. Аминь”. Кому приписывается цитата? (Из книги “Лексикон популярных заб; Лютер
Люций Домиций Агенобарб больше известен нам под именем ...; Нерон
Свое нынешнее название эта картина получила после того, как многие годы провисела недалеко от камина в доме амстердамской ратуши, где очень потемнела от копоти и сажи, которые и придают ей мрачный колорит, совсем не входивший в замысел художника. Автор ка; Рембрандт
Именно к этому острову относится остров Свободы (Либерти Айленд, а ранее Бодло Айленд), где установлена статуя, официальное название которой – “Свобода, освещающая мир” (Из книги “Лексикон популярных заблуждений”); Нью-Джерси
Копание обезьян в шерсти имеет целью удалить омертвевшие остатки кожи и кристаллики соли, возникающие при потении. Это вовсе не ловля ... , как считают многие зоологи (Из книги “Лексикон популярных заблуждений”); блох
Самое опасное при пожаре (Из книги “Лексикон популярных заблуждений”); дым
Планета Плутон не всегда оказывается на периферии Солнечной системы. В этом отношении она периодически меняется местами с планетой, которую надо назвать. Впрочем, это случается один раз в тысячу лет (Из книги “Лексикон популярных заблуждений”); Нептун
Этот предмет был изобретен только в 1626 году итальянским врачом Санкториусом (Из книги “Лексикон популярных заблуждений”); термометр
“Когда нужно подписать документ, неграмотные вместо имени ставят ___” – заблуждение. Многие сотни лет и образованные европейцы ставили вместо подписи просто ___, а справа или слева от него уже прописывали полное имя, но его должен был подтвердить специаль; крестик
Эта игра возникка не на американском Диком Западе, а за 3 тысячи лет до этого в Древней Персии. Игра называлась “туз”, но уже включала все основные комбинации. Игру принесли в Европу крестоносцы. В Италии ее называли “примере”, во Франции “булот” (Из книг; покер
Как ни парадоксально, качество медицины в определенной стране тем выше, чем больше уровень смертности от ... (Из книги “Лексикон популярных заблуждений”); рака
Это чеканное определение принадлежит не Марксу и не Ленину, как думают все, а немецкому писателю Новалису. С чем проводится сравнение в этом известном выражении? (Из книги “Лексикон популярных заблуждений”); опиум
Ставка на рулетке на группу чисел с 1 по 18 называется “манке”, а ставка на группу чисел с 19 по 36 называется ...; пассе
Для этого вида транспорта число жертв составляет 24 смертных случая на 100 миллионов пассажиро-часов, что больше аналогичного показателя для железных дорог (Из книги “Лексикон популярных заблуждений”); самолет
Если среди 20-летних это число составляет 5 на 100 тысяч, то в возрасте старше 70 лет оно возрастает почти до 50. Назовите то, случаи чего подсчитаны (ед. ч.) (Из книги “Лексикон популярных заблуждений”); самоубийство
Самое старое из этих животных, возраст которого удалось документально подтвердить, прожил 70–76 лет. Большинство из них не преодолевают планку в половину века (Из книги “Лексикон популярных заблуждений”) (ответ во мн. ч.); слоны
Вопреки распространенному убеждению, зоологи не обнаружили какого-то особенного пристрастия мышей к этому пищевому продукту (Из книги “Лексикон популярных заблуждений”); сыр
Сам он ничего не понимал ни в электричестве, ни в том, как подобные импульсы можно преобразовать в знаки. Другое дело, что он был инициатором и спонсором идеи телеграфа, который потом назвали его именем (Из книги “Лексикон популярных заблуждений”); Морзе
Кем был Франкенштейн? (ответ в тв. п.); студентом
Эти шляпы в их настоящем виде привозят из южноамериканской страны Эквадор. Утверждают, что их делают там только из соломы и только по ночам (когда становится холоднее и нити можно сплетать особенно плотно) (Из книги “Лексикон популярных заблуждений”); панамы
Это вещество не является наркотиком в полном смысле слова, так как не вызывает привыкания (Из книги “Лексикон популярных заблуждений”); гашиш
Национальный фронт освобождения Южного Вьетнама; военно-политическая организация в Южном Вьетнаме в 1960–1977 годах, являвшаяся одной из воюющих сторон во Вьетнамской войне; Вьетконг
(разг.-сниж.) Удар кулаком в зубы; зуботычина
Неспособность к приятному самочувствию, ощущению довольства, потеря интереса во всех областях деятельности, которые обычно приносят удовольствие; ангедония
Он содержится в меде пчел на горе насекомым – грабителям ульев в таком количестве, которое на самих пчел действия не оказывает (Борис Сергеев “Занимательная физиология”); яд
Она становится консервами для детей галловых мух (Борис Сергеев “Занимательная физиология”); мать
Существуют животные, у которых молочные железы самцов развиваются так же, как и железы самок, и в период размножения самцы, как и самки, секретируют молоко. Выделение молока самцами известно у ___ и родственных им животных (Борис Сергеев “Занимательная фи; утконосов
У этих животных половое отверстие расположено на голове (Борис Сергеев “Занимательная физиология”); улитки
У этих животных самка еще во время спаривания начинает поедать самца прямо с головы (Борис Сергеев “Занимательная физиология”); богомолы
В течение жизни у женщины созревает их лишь немногим более 400, по 13 в течение одного года (ответ в ед. ч.); яйцеклетка
Один из реснитчатых червей, чтобы осуществить встречу гамет, должен ввести собственный совокупительный орган в специальное отверстие на своем теле. Это называется ... (Борис Сергеев “Занимательная физиология”); самооплодотворение
В половых путях самок червей бонеллия зеленая, трихозома и других живет по нескольку ... (Борис Сергеев “Занимательная физиология”); самцов
Мы привыкли думать, что у живых существ, имеющих половые клетки, возникновение зародышей всегда сопровождается слиянием яйца и сперматозоида. Но это не обязательно. У некоторых животных яйца способны развиваться сами по себе, без какого-либо участия мужск; Партеногенеза
Сложение ревностей, вычитание свобод, умножение обязанностей и деление благ; брак
Постройки или поселения на сваях (главным образом эпохи неолита и бронзового века) на заливаемых или заболоченных местах. Открыты в Швейцарии, Германии, Италии, СССР (Урал и др. районы); палафиты
Что такое продуманная драка? Это когда дерутся возле входа в ...; травмопункт
Если вам третий день влом работать, значит сегодня – ...; среда
Эта драгоценность со временем теряет блеск, трескается, рассыпается в пыль. И превращается просто в карбонат кальция. Увы; жемчуг
По мнению Бориса Гребенщикова “голосовать на выборах против всех – это позиция 16-летнего ...”; маргинала
Осколки тщеславия великих (С. Лукьяненко); афоризмы
Извращение подлеца (С. Лукьяненко); благородство
Престарелые дети (С. Лукьяненко); взрослые
Привычное уродство (С. Лукьяненко); красота
Гордиться тем, что дал монету нищему – все равно что гордиться песчинкой, брошенной в ___ (С. Лукьяненко); океан
Гуманизм побеждает – вчера казнили последнего ___ (С. Лукьяненко); палача
Жидкое самоубийство (Равиль Алеев); пьянство
Постоянные колебания простительны только ___ (Эмиль Кроткий); маятнику
Мирное сосуществование двух нервных систем (Эмиль Кроткий); брак
От ___ не требуют простоты. Его дело – ломаться (Эмиль Кроткий); акробата
Если ты хочешь быть впереди классиков – пиши ___ к ним (Эмиль Кроткий); предисловия
Чтоб не отстать от жизни, он ходил на все ___ (Эмиль Кроткий); похороны
На чужих похоронах мы волнуемся, как актер на ___ (Эмиль Кроткий); репетиции
Неприятные ___ всегда приходят без опоздания (Эмиль Кроткий); телеграммы
Радио сближает народы, но ссорит ___ (Эмиль Кроткий); соседей
То, что обычно соединяет мужчину и женщину, но разъединяет мужа и жену (Константин Мелихан); алкоголь
Книга, в которой так много мудрости, что там можно найти оправдание любой глупости (Константин Мелихан); Библия
Ослабевший донжуан (Константин Мелихан); джентльмен
Человек, который всегда спросит разрешения закурить у хозяина дома, даже если в доме – пожар (Константин Мелихан); джентльмен
Человек, который так ответит, что забудешь, о чём его спрашивал (Константин Мелихан); дипломат
Оптимизм пессимиста (Константин Мелихан); ирония
Человек, который знает – что, где, почему, но не знает – что, где, почём (Константин Мелихан); интеллигент
Золотое время для возврата долгов (Константин Мелихан); инфляция
Привилегия тех, кто создаёт правила (Константин Мелихан); исключение
Человек, который любит, когда у него просят в долг большую сумму: чем больше просят, тем легче отказать (Константин Мелихан); джентльмен
Человек, который благодарит врача до операции, иначе не успеет его отблагодарить (Константин Мелихан); джентльмен
Это когда богач жертвует беднякам тысячи, чтобы с чистой совестью отбирать у них миллионы (Константин Мелихан); благотворительность
Мало попасть в ворота, надо еще промахнуться мимо ___ (Константин Мелихан); вратаря
Хорошо отредактированный мужчина (Константин Мелихан); муж
Сгусток крови, мигрирующий по сосудистому руслу; может вызывать закупорку сосудов вдали от места своего образования; эмбол
Оторвавшийся тромб или частица тромба, бактериальная масса, частица опухоли и т. д.; эмбол
Правильный ритм, правильная последовательность сердечных сокращений, нормальный, равномерный, ритмичный пульс; эвритмия
Свисающее с заднего края мягкого нёба нормальное образование, покрытое слизистой оболочкой; язычок
Западение глазного яблока в орбиту; энофтальм
Кишечная боль, кишечная колика; энтералгия
Так на жаргоне компьютерщиков называется операционная система (любая); ось
“Я татарин на лицо // Да с фамилией хохляцкой. // Отчего ж тоске кабацкой // Угодил под колесо?” – кто так спел о себе?; Шевчук
“Именно то, что наиболее ... , наименее подобает человеку.” (Братья Стругацкие); естественно
Задорнизмы. “Знаете ли вы, что чиновники очень любят смотреть на морской прибой с берега: [...три слова пропущено...]!”; откат за откатом
Ее название произошло от работы Мухаммеда, которая была озаглавлена “Хисаб ал-джабр ва-л-мукабала” (буквально: “Исчисление восполнения и противопоставления”), что, вероятно, означало “науку об уравнениях”; алгебра
Как называли Стругацкие литературный прием – ссылки на выдуманные источники? “Несуществующие книги и живописные полотна, несуществующие цитаты из несуществующих текстов, – нам все это очень нравилось. Это были «живые» черточки выстраиваемых миров, лакомые; псевдоквазия
Вопрос Борису Стругацкому в офлайн-интервью: “Если бы у Вас был телефон Бога, – позвонили бы Вы, и если да, – что именно сказали Ему?” Ответ: “Я бы не стал звонить: слишком высокая ... , я бы побоялся разочароваться.”; инстанция
О сколько нам открытий чудных готовит... ;); открывашка
Шахматный термин плюс название русской реки – получается название сладкого вещества. Назовите это вещество; патока
То, что произошло; событие, случай; происшествие
Нежелательное, неприятное событие; происшествие
Один из выдающихся игроков мировой истории хоккея с мячом. В чемпионатах СССР провел более 1 тыс. матчей, забив в официальных играх 588 мячей – это рекорд в истории отечественного хоккея с мячом. Является девятикратным чемпионом СССР, семикратным чемпионо; Дураков
... Виктор Алексеевич (р. 1948) – российский спортсмен (фехтование на саблях), заслуженный мастер спорта (1976). Чемпион Олимпийских игр; Кровопусков
Рыба в условиях безрыбья; рак
___ колесных транспортных средств – расстояние между передней и задней осями 2-осного автомобиля, трактора, прицепа или между передней осью и центром 2-осной тележки 3-осного автомобиля; база
Вращение ходовых колес (или движение гусениц) транспортных машин, не сопровождающееся поступательным перемещением машин; буксование
Университетский городок, включающий, как правило, жилые помещения для студентов, библиотеки, аудитории, столовые и т. д.; кампус
Этим словом иногда называют обособленную территорию, принадлежащую крупной компании (включающую внутрифирменную инфраструктуру, например, корпоративный университет); кампус
Автомобиль, который возит Папу Римского; папамобиль
Новость на http://lenta.ru от 11 декабря 2007 года сообщает, что метро города ___ наняло толкателей, чтобы они заталкивали людей в вагоны в утренние часы пик, иначе люди, долго пытаясь попасть внутрь поезда, нарушают график движения; Киев
– Гггддде тттуттт шшшшшколааа дддляяя ззззаиккк?  – Зачем тебе школа, ты и так классно ___; заикаешься
Поставьте глагол “соблюду” в прошлое время; соблюл
Хорошо унавоженный парник, где выращивались “гении” для Страны Советов; ВХУТЕМАС
Высшие (Всероссийские?) художественные театральные мастерские (аббр.); ВХУТЕМАС
Здоровый мужик на скотобойне с кровавым топором в руках; обвальщик
(в программировании) Число фиксированной длины, которое ставится в соответствие данным произвольной длины таким образом, чтобы вероятность появления различных данных с одинаковым ___ем стремилась к нулю, а восстановить данные по их ___у было как можно тру; хеш
Косая черта – знак препинания; слеш
По одной из версий производители этой техники работают на продуктовые магазины. Что они производят? (юмор.); унитазы
Министр культуры СССР с 1960 года; Фурцева
На одном из приемов к Фурцевой подошел подвыпивший Олег Ефремов и заявил: “Вы – ___ на пути советского искусства”. “Вы пьяны, Олег Николаевич”, – ответила министр культуры. “Конечно, – согласился актер. – Если бы я был трезвый, я бы вам этого не сказал”.; шлагбаум
разг. Порядок, чистота, красота; марафет
разг. Макияж; марафет
Собирательное наименование женских наружных половых органов; вульва
Область входа во влагалище; вульва
Детское определение: “Это то же самое, что и леди. Только мужчина.” О ком речь?; джентльмен
Дополнительное, сопутствующее значение языковой единицы или категории; включает семантические и стилистические аспекты, связанные с основным значением. Например, ругательный оттенок у слова; коннотация
Парный знак препинания, который употребляется для выделения прямой речи, цитат, названий литературных произведений, газет, журналов, предприятий, а также отдельных слов, если они включаются в текст не в своем обычном значении, используются в ироническом с; кавычки
(от лат. “вместе” + “отмечать, обозначать”). Добавочные семантические или стилистические оттенки, которые накладываются на основное значение слова и служат для выражения эмоционально-экспрессивной окраски, придавая высказыванию тон торжественности, неприн; коннотация
(от лат. “совместно взятое”). Приставка и суффикс, одновременным присоединением образующие слово; конфикс
Рисунок типографского шрифта, близкий к рукописному, используемый для выделения части печатного текста из остального текста, набранного прямым шрифтом; курсив
Фигура речи, состоящая в юмористическом использовании многозначности слова или звукового сходства различных слов; каламбур
