Выращивание растений в темноте; этиолирование
В патронной гильзе – внутренняя часть, о которую разбивается пистон при выстреле; наковальня
Повязка, накладка, носимая на колене; наколенник
Часть старинного боевого доспеха (воина или коня), щиток, прикрывающий колено; наколенник
Сетка или мешок для защиты от комаров; накомарник
Салфетка, скатерть и т. п., которыми покрывается комод; накомодник
Болезненная твердая опухоль на ноге лошади; накостница
Помощница настоятельницы, управляющая монастырем во время ее отсутствия (в женских монастырях); наместница
Жена наместника; наместница
Несвободное, неестественное состояние; натянутость; напряжение
Состояние подъема, повышенных усилий в осуществлении чего-либо; напряжение
Физическое состояние электричества, которым определяется сила тока; напряжение
Величина давления или растяжения, возникающих в твердом теле в результате внешних воздействий (сил, температуры и т. п.); напряжение
Повязка, покрывающая место на руке, где прощупывается пульс; напульсник
Наставления, пожелания отправляющемуся в путь; напутствие
Раздел медицины, изучающий последствия злоупотребления наркотиками и методы лечения наркомании и наркоманов; наркология
Болезненное, иногда непреодолимое пристрастие к наркотикам, приводящее к тяжелым нарушениям функций организма; наркомания
Мафия, связанная с незаконной торговлей наркотиками; наркомафия
Общность людей, исторически сложившаяся в процессе разложения племенных отношений, основанная на общности языка, территории и развивающейся экономической жизни и культуры; народность
Национальная самобытность; народность
Работник системы нарпита; нарпитовец
Внешность; черты лица; наружность
Внешняя сторона, внешний вид; наружность
Чехол в виде полурукава, надеваемый поверх рукава (для предохранения его от загрязнения во время работы); нарукавник
Посаженные деревья, растения; насаждения
Имущество, переходящее после смерти его владельца новому лицу; наследство
Приспособление, посредством которого ловушка, капкан и т. п. приводятся в боевое состояние; насторожка
Начальник мужского монастыря; игумен; настоятель
Старший священник церкви у православных; настоятель
Внутреннее, душевное состояние; настроение
Расположение, склонность, желание делать; настроение
Направление в литературе и искусстве, возникшее в последней трети XIX в. и стремящееся к внешне точному, идейно не осмысленному изображению действительности; натурализм
Фактографическое, с излишне пристальным вниманием к деталям жизни и быта изображение действительности; натурализм
Последователь натурализма; натуралист
Накладка, обычно металлическая, скрепляющая или украшающая угол (рамы, ящика, переплета и т. п.); наугольник
Линейка в форме треугольника для вычерчивания прямых углов и проведения перпендикуляров; наугольник
Небольшая треугольная полка, помещаемая в углу; наугольник
Беззастенчивая назойливость, наглость, бесцеремонность; нахальство
Ремень, идущий от седла или седелки по спине лошади и проходящий под хвостом (в упряжи); нахвостник
Внешняя форма изображения; рисунок; начертание
Начисленная сумма; начисление
Обитатель неба (о богах древнегреческой, скандинавской и некоторых других мифологий); небожитель
Нерадивое, невнимательное отношение к чему-либо; небрежность; небрежение
Состояние запущенности, заброшенности; небрежение
Отсутствие знаний; необразованность; невежество
Непостоянство в убеждениях, отношениях, взглядах, чувствах; измена; неверность
Наивность, простодушие; невинность
Отсутствие вины; невиновность; невинность
Невзнос (платы, денег); невнесение
Отсутствие или недостаток внимания; рассеянность; невнимание
Отсутствие уважения к кому-либо; проявление нерасположения, равнодушия; невнимание
Оболочка периферических нервных волокон; неврилемма
Совокупность разделов медико-биологических наук, изучающих нервную систему и ее заболевания; неврология
Общее название нервных заболеваний без постоянных патолого-анатомических изменений; невропатия
Недоставка, непередача лично; невручение
Один из симптомов некоторых психических заболеваний, выражающийся в противодействии любому вмешательству извне (в медицине); негативизм
Отрицательное отношение ко всему окружающему; негативизм
Ребенок-негр; негритенок
Близость по времени; недавность
Неспособность удерживать, сдерживаться; недержание
Неполная нагрузка; недогрузка
Неполное высказывание, заключающее в себе намеки на что-либо; умолчание; недомолвка
Недостаточная обдуманность; глупость; недомыслие
Неспособность глубоко и основательно мыслить, правильно понимать; недомыслие
Расход в количестве, меньшем намеченного; недорасход
Недоставление; недоставка
Отсутствие в должном, необходимом количестве, нужда в чем-либо; недостаток
Отсутствие достаточных средств существования; нужда, бедность; недостаток
Несовершенство, погрешность, недочет; недостаток
Сомнение, колебание, состояние нерешительности вследствие непонимания, неясности; недоумение
Неполная, недостаточная загрузка; незагрузка
Болезненное состояние, недомогание; нездоровье
Незнакомый, неизвестный человек; незнакомец
Сплав меди и никеля с цинком или оловом, употребляемый для изготовления посуды, а также в машиностроении и т. п.; нейзильбер
Политика государства, руководствующегося в своих отношениях с другими государствами политикой нейтралитета; нейтрализм
Отсутствие комплекта, неполный комплект; некомплект
Птица семейства воробьиных, питающаяся насекомыми и нектаром; нектарница
Неповоротливость, неуклюжесть; неловкость
Неискусность; неловкость
Чувство стеснительности, стыда; неловкость
Неуместный, неудачный поступок; неловкость
То, чего нельзя миновать; неизбежность; неминуемое
Философское течение XX в., направленное против умозрительности в философских исследованиях; неореализм
Невежливое, непочтительное отношение; непочтение
Отсутствие привычки; непривычка
Качество неприличного; неприличие
Неприличный поступок, неприличное поведение; неприличие
Отказ от принятия; непринятие
Войска воюющей противной стороны; противник; неприятель
Семейство морских кольчатых червей; нереидовые
Затруднения в переваривании и усвоении пищи желудком; несварение
Свойство и состояние несвежего; несвежесть
Отсутствие единства во мнениях, взглядах, разногласие; несогласие
Разлад, ссора; несогласие
Отсутствие согласия на что-нибудь; отказ; несогласие
Отсутствие сходства, подобия; различие; несходство
Недостаток, отсутствие терпения в ожидании; нетерпение
Отсутствие должного уважения; непочтительность; неуважение
Отсутствие удобства; неудобство
Нечестивый человек; нечестивец
Последователь никонианства; никонианец
Болезненно-повышенная половая возбудимость у женщин; нимфомания
Женщина, страдающая нимфоманией; нимфоманка
Химическая реакция замещения водорода нитрогруппой в органических соединениях; нитрование
Сложное минеральное концентрированное удобрение, содержащее азот, фосфорную кислоту и калий; нитрофоска
Небольшая инструментальная пьеса обычно лирико-повествовательного, иногда – драматического или жанрового характера; новеллетта
Направление в средневековой философии, согласно которому общие понятия являются лишь именами единичных предметов (т. е. признается первичность вещей и вторичность понятий); номинализм
График геометрических величин, применяемый при различных расчетах; номограмма
Раздел математики, объединяющий теорию и практические методы построения номограмм; номография
Метод технических расчетов с помощью номограмм; номография
Верхняя часть глотки, представляющая собою полость позади носа, непосредственно переходящую в среднюю часть глотки; носоглотка
Тоска по родине; ностальгия
Описание содержания и внешнего оформления нотных изданий; нотография
Составление перечней, обзоров, указателей музыкальных произведений; нотография
Одноклеточное морское животное, способное к самосвечению; ночесветка
Снабжение пресной водой путем устройства искусственных водоемов (прудов, каналов, колодцев и т. п.); обводнение
Специально оборудованное помещение для обезьян, живущих в неволе; обезьянник
Скопление облаков; облачность
Ощущение легкости, освобождения; облегчение
Льгота, послабление; облегчение
Мелкие морские животные с мешковидным телом, покрытым оболочкой; оболочники
Линия, движением которой образуется поверхность (в математике); образующая
Деревянный брус, накладываемый при сооружении крыши поперек стропила; обрешетина
Машина или приспособление для обирания, обрывания плодов, хмеля; обрыватель
Наличие обрывов; обрывность
Возможность обрывов; обрывность
Система, строй обрядов культа; обрядность
Составная часть обряда; обрядность
Изоляция в специально приспособленном помещении здоровых людей, выезжающих из района, где наблюдались случаи заболевания холерой, чумой или оспой, для медицинского наблюдения за ними и для профилактики; обсервация
Определения местонахождения судна в море по береговым предметам или по положению небесных светил; обсервация
Мебель, меблировка; обстановка
Декоративная и бутафорская часть спектакля; обстановка
Намеренный срыв мероприятия в знак несогласия; обструкция
Устройство для придания частям самолета, судна и т. п. обтекаемой формы; обтекатель
Манера поведения по отношению к кому-либо; обращение; обхождение
Печатное сообщение, извещение; объявление
Причина, разъясняющая что-либо; объяснение
Приспособление для резки овощей; овощерезка
Овцеводческий совхоз; овцесовхоз
Перечень глав или иных составных частей книги, рукописи и т. п., помещающийся в начале или в конце текста (обычно с указанием страниц расположения называемых глав или разделов); оглавление
Ограда, заграждение; ограждение
Нахождение мужских – тычиночных – и женских – пестичных – цветков на разных особях растения; двудомность; однобрачие
Одноглазое пресноводное животное подкласса низших раков; циклоп; одноглазка
Лицо из числа низшего разряда служилых людей (на Руси конца XV в. – начала XVIII в.), владевших небольшим земельным участком на правах служилого поместья и впоследствии фактически приравненных к крестьянам; однодворец
Женщина из семьи однодворца; однодворка
Насекомое, живущее один день; эфемерида; однодневка
Мачта из одного цельного ствола, без надставок; однодревка
Растение, заканчивающее свой жизненный цикл – от прорастания семян до отмирания особи – в течение одного года; однолетник
Полоска, обшивка по краю; окаймление
Вещество, способное производить окисление; окислитель
Общее название мистических учений, признающих существование в мире таинственных, сверхъестественных сил, недоступных научному познанию, но доступных, якобы, познанию “избранных”, “посвященных”; оккультизм
Один из высших придворных боярских чинов в допетровской Руси; окольничий
Замкнутая кривая, все точки которой равно удалены от центра; замкнутая кривая, ограничивающая плоскость круга; окружность
Линия, ограничивающая кругообразные поверхности и предметы; окружность
Ребенок младшего школьного возраста, готовившийся вступить в пионеры (в СССР); октябренок
Прививка диких растений глазком (т. е. посредством почки культурного растения); окулировка
Воспроизведение способом многокрасочной литографии картин масляной живописи; олеография
Раздел ономасиологии, изучающий собственные имена; ономастика
Совокупность собственных имен в языке; ономастика
Деятельность, обязанности опекуна; опекунство
Надзор, попечение; опекунство
Ошибка, промах; оплошность
Мазь, применяемая в быту для втираний при ревматических и суставных болях; оподельдок
Признание невиновным или поступившим непредосудительно; оправдание
Признание подсудимого невиновным; оправдание
Обоснование справедливости или целесообразности; оправдание
Проверка давлением прочности и непроницаемости труб в местах сварки; опрессовка
Главные химические элементы, входящие в состав органических веществ: углерод, водород, кислород, азот; органогены
Должность ординатора; ординатура
Практическая медицинская аспирантура; ординатура
Музыкант, играющий в оркестре; оркестрант
Название различных механических музыкальных инструментов, напоминающих звучанием духовой оркестр; оркестрион
Летательный аппарат тяжелее воздуха с машущими, как у птицы, крыльями; орнитоптер
Ортодоксальная приверженность; ортодоксия
Молодой дворянин, обязанный сопровождать и охранять рыцаря в бою, заботиться о его оружии и коне (в средние века); оруженосец
Общепринятая система правил написания слов языка; правописание; орфография
Обработка воды, жидкости (отстаивание, фильтрация) с целью уменьшения примесей; осветление
Процесс, предшествующий оплодотворению животных и растительных организмов, состоящий в сближении мужской половой клетки с женской половой клеткой; осеменение
Раствор, уменьшающий оптическую плотность негативов (путем удаления с них излишков серебра); ослабитель
Оптическое устройство, предназначенное для уменьшения интенсивности светового пучка; ослабитель
Явление или событие, затрудняющее, усложняющее что-нибудь; осложнение
Новое заболевание как следствие болезни; осложнение
Музыкальная система из восьми ладов (гласов), лежащая в основе старинных церковных песнопений; осмогласие
Раздел анатомии, изучающий форму, строение и функции костей; остеология
Операция рассечения кости (в целях исправления искривления кости, удлинения конечности и т. п.); остеотомия
Акцентирование писателем элемента в тексте художественного произведения, с целью вызвать восприятие его не в обычных ассоциациях, а как нечто прежде не встречавшееся, необычное; остранение
Острые щипцы для отрезывания проволоки, гвоздей и т. п.; кусачки; острогубцы
Любая система тел, способная совершать колебания (технические, электромагнитные и т. п.); осциллятор
Семейство млекопитающих отряда грызунов, зубы которых формой напоминают цифру восемь; осьмизубые
Твердое, затвердевшее место; отвердение
Отторжение от общества, непринятие обществом; состояние, положение отверженного; отвержение
Сильное чувство неприязни, соединенной с брезгливостью; гадливость, омерзение; отвращение
Командир отделения; отделенный
Вещество, способствующее выделению из другого вещества; отделитель
Материал, изолирующий тепло, применяемый для отепления; отеплитель
Несовпадение с чем-либо; отступление от типичного, обычного; отклонение
Сообщение, открывающее тайну; откровение
Откровенность, правдивость, доверчивость; открытость
Превращение в торф; оторфление
Раб или крепостной, отпущенный на свободу; отпущенник
Приспособление для отражения световых, тепловых и т. п. лучей, волн, колебаний; отражатель
Возраст между детством и юностью; отрочество
Положение, когда чего-либо нет в наличии; отсутствие
Неявка, ненахождение в данном месте или в данное время; отсутствие
Ведение учета операций по счетам, составление оправдательных документов об израсходованных и полученных средствах; отчетность
Совокупность документов, оправдывающих расходы учреждения или должностного лица; отчетность
Отчисленная сумма; отчисления
Прекращение близости, близких отношений между кем-либо; отчужденность; отчуждение
Офицеры; офицерство
Офицерское звание, чин; офицерство
Работник по оформлению; оформитель
Внешняя отделка; оформление
Теплообменный аппарат для охлаждения твердых, жидких или газообразных веществ; охладитель
Материал, при помощи которого охлаждают; охладитель
Власть толпы; охлократия
Прибор, служащий для очищения; очиститель
Вещество, употребляемое для очищения; очиститель
Кафе, где можно заказать и съесть йогурт; йогуртерий
Учащийся рабфака; рабфаковец
Состояние неподвижности, покоя, в котором находится тело под воздействием равных, противоположно направленных сил; равновесие
Политическое течение, ориентирующееся на проведение демократических реформ в рамках существующего государственного строя; радикализм
Образ мыслей и действий радикала; радикализм
Электромагнитные волны, распространяющиеся на значительное расстояние без проводов и используемые для целей радиосвязи и радиовещания; радиоволны
Электронная лампа для радиоаппаратуры; радиолампа
Научная дисциплина, изучающая радиоактивность; радиология
Одноклеточные животные класса саркодовых, отличающиеся особым строением скелета; радиолярии
Опора, на которой подвешиваются или укрепляются на необходимой высоте антенны наземных радиостанций; радиомачта
Улавливание, преобразование и использование энергии радиоволн; радиоприем
Закрытое помещение на корабле, в котором размещается приемно-передаточная аппаратура дальней радиосвязи; радиорубка
Связь, осуществляемая по радио; радиосвязь
Раздел химии, изучающий физико-химические и химические свойства радиоактивных элементов; радиохимия
Пункт, оборудованный специальной аппаратурой для радиосвязи и радиовещания; радиоцентр
Начальник из состава караула, выставляющий часовых на посты и наблюдающий за несением ими службы; разводящий
Раздвоившееся; раздвоение
Порядок, система расположения; размещение
Разъезд на одноколейном рельсовом пути в шахте; разминовка
Распределение кого-либо или чего-либо в плановом порядке; разнарядка
Документ, содержащий распоряжение о порядке выполнения работ или распределении рабочих по рабочим местам; разнарядка
Наличие различных вероисповеданий; разноверие
Люди различных вероисповеданий; разноверцы
Лес, состоящий из разных пород деревьев; разнолесье
Совокупность горных работ по добыче того или иного полезного ископаемого; разработка
Состояние того, что разрабатывалось; разработка
Место, где разрабатывается из природных богатств; разработки
Новообразование из разросшихся органических тканей; разращение
Способ решения; разрешение
Право на совершение; позволение; разрешение
Поиски, изучение материалов, фактов (обычно с научными целями); разыскания
Территория, оборудованная специальными техническими средствами для испытаний и запуска ракет; ракетодром
Крупнопористый известняк, состоящий из раковин морских животных, сцементированных раствором извести; ракушечник
Отряд водных беспозвоночных подкласса низших ракообразных; ракушковые
Смена культур в течение года при выращивании их в парниках; рамооборот
Период времени, необходимый для выращивания той или иной культуры в парнике; рамооборот
Краткая ведомость, краткий письменный отчет; рапортичка
Расходящееся косоглазие, при котором глаз косит в направлении от носа; раскосость
Разборка опалубки бетонных и железобетонных конструкций, после того как бетон приобретет достаточную прочность; распалубка
Дополнительные сводчатые части, врезанные в основной свод (в архитектуре); распалубка
Короткая рубашечка для грудного ребенка с разрезом от ворота до подола и без застежки; распашонка
Таблица, график, в которых содержатся указания о времени, месте и последовательности совершения чего-либо; расписание
Установленная организация дела; распорядок
Совокупность правил, регулирующих образ жизни, уклад, порядок; распорядок
Устранение минеральных солей из почвы; рассоление
Мясной или рыбный суп с солеными огурцами; рассольник
Отрезок пути, протяжение в длину; расстояние
Пространство, разделяющее два пункта; расстояние
Жидкое или полужидкое вещество, которым растирают; лекарственная мазь; растирание
Заостренная палочка из мягкого материала (бумаги, замши, пробки и т. п.), употребляемая для грунтовки, тушевания, накладывания грима; растушевка
Повреждение сухожилий, связок и т. п. вследствие сильного напряжения, удара, резкого, неловкого движения и т. п.; растяжение
Более широкая, постепенно расширяющаяся часть; расширение
Патологическое увеличение размеров (сердца, сосудов и т. п.); расширение
Приверженец политической реакции; реакционер
Противник всего прогрессивного; реакционер
Объективно существующая действительность; реальность
Временное правление в монархическом государстве одного лица – регента – или коллегиального органа – регентского совета, устанавливаемое в случае вакантности престола, а также при длительном отсутствии, болезни или несовершеннолетии монарха; регентство
Пребывание в должности регента; регентство
Возврат к предшествующей стадии почвообразования; реградация
Редкий лес; редколесье
Сохранение чего-либо, оставление чего-либо про запас, в резерве; резервация
Территория для обособленного поселения коренного населения (в США и некоторых других странах); резерват; резервация
Место временного скопления некоторых животных, вредных насекомых; резервация
Местопребывание правительства, главы государства или высокопоставленного лица; резиденция
Заявление об обнаруженных недостатках в приобретенной продукции с требованием возмещения убытков; рекламация
Спортсмен, установивший рекорд; рекордсмен
Документ, которым правительство отзывает своего дипломатического представителя; рекредитив
Рекрутская повинность; рекрутство
Пребывание в рекрутах; рекрутство
Ректифицированный продукт; ректификат
Методологический принцип, согласно которому все наши знания относительны и условны, а объективное познание действительности невозможно; релятивизм
Приспособление для индивидуальной защиты органов дыхания человека от действия на них пыли, ядовитых паров, газов и т. п.; респиратор
Дыхание; респирация
Возвращение одним государством другому имущества, незаконно захваченного им во время войны (в международном праве); реституция
Восстановление поврежденного организма (в биологии); реституция
Всенародный опрос при решении особо важных вопросов в жизни государства; референдум
Общественно-политическое и религиозное движение в Западной и Центральной Европе в XVI в., носившее антифеодальный характер и принявшее форму борьбы с католической церковью; реформация
Осуществление религиозных преобразований в духе протестантизма; реформация
Возможность решения; решаемость
Группа паразитных грибов, являющихся возбудителями болезней растений, к которой относится ржавчинник; ржавчинные
Один из витаминов группы В, содержащийся в мясе, молоке, салатных овощах; витамин В2; рибофлавин
Введение во что-либо ритмического элемента; ритмизация
Преемство поколений; родословие
Систематический перечень поколений одного рода, устанавливающий происхождение и степени родства; генеалогия; родословие
Семейство многолетних насекомоядных растений; росянковые
Распределение по рубрикам; рубрикация
Система рубрик; рубрикация
Мастер, изготовляющий рукавицы; рукавичник
Принимающий участие в рукобитии, подтверждающий сделку рукобитием; рукобитчик
Отряд млекопитающих, передние конечности которых приспособлены для летания; рукокрылые
Занятие рыбака; рыбачество
Вид народного инструментального ансамбля в Азербайджане, Армении, Грузии и Иране; сазанадари
Хвостатое земноводное, похожее на ящерицу; саламандра
Дух огня (в магии и в средневековых поверьях); саламандра
Семейство хвостатых земноводных; саламандровые; саламандры
Помещение, где вытапливают сало; салотопная
Потомки древнееврейского населения Израильского царства, составляющие в Палестине этническую группу, объединенную в религиозную общину; самаритяне
Анализ собственных поступков и переживаний; самоанализ
Приверженец учения народников о самобытности исторического развития России; самобытник
Не ограниченный в своей власти, самодержавный правитель; монарх; самодержец
Защита самого себя; самозащита
Защита собственными силами; самозащита
Преувеличенно высокое мнение о самом себе, своих достоинствах; самомнение
Аппарат для автоматической подачи листов бумаги в печатную машину; самонаклад
Естественное выпадение из раствора и осаждение соли в водоемах с соленой водой; самоосадка
Охрана самого себя, своего имущества собственными силами; самоохрана
Оценка самого себя, собственных достоинств и недостатков; самооценка
Ножная прялка; самопрялка
Самопроизвольное распадение ядер радиоактивного вещества, порождающее цепную реакцию; самораспад
Самостоятельный расчет; саморасчет
Автоматическая смазка; самосмазка
Темперамент, присущий сангвинику; сангвинизм
Семейство двудольных растений (трав, кустарников, реже – небольших деревьев); сандаловые
Санитарная дружина; сандружина
Санитарное просвещение как популяризация санитарно-оздоровительных мероприятий и распространение гигиенических и медицинских знаний среди населения; санпросвет
Санитарная техника; сантехника
Мера веса, равная одной сотой грамма; сантиграмм
Твердое горючее ископаемое, образовавшееся путем уплотнения сапропеля; сапропелит
Надсемейство насекомых отряда прямокрылых; саранчовые
Оболочка, покрывающая гладкие мышечные клетки и поперечно-полосатые мышечные волокна; сарколемма
Праздник в Древнем Риме в честь бога Сатурна, справлявшийся в течение нескольких дней по окончании полевых работ, во время зимнего солнцестояния; сатурналии
Накопленная сумма денег; сбережения
Сберегательная книжка; сберкнижка
Сорт свеклы, идущей на изготовление сахара; сахарная свекла; свекловица
Свекловичное поле; свекловище
