Лингвистическое серебро?; слово
Совокупность паразитов обитающих в органе или во всем организме человека или животного; паразитоценоз
Совокупность магнитных свойств тел, имеющих положительную магнитную восприимчивость; парамагнетизм
Слабомагнитные тела, к которым относятся некоторые газы и металлы; парамагнетики
Член парламента; парламентарий
Отряд травоядных млекопитающих, имеющих в копыте два одинаково развитых пальца; парнокопытные
Паровой котел; парогенератор
Стремление отдельных частей государства к обособлению, к неприкосновенности местных, частных прав, привилегий; партикуляризм
Введение системы паспортов для населения; паспортизация
Составление документов с основными сведениями, описанием машин, предметов хозяйственного оборудования и т. п.; паспортизация
Система церковного управления во главе с патриархом; патриаршество
Пребывание в сане патриарха; патриаршество
Класс беспозвоночных животных типа членистоногих; паукообразные
Ученик первого класса; первоклассник
Способность перевариваться; переваримость
Механизм для перегрузки; перегружатель
Аппарат, с помощью которого осуществляется переключение; переключатель
Механизм, служащий для регулирования поступления, продвижения чего-либо; перекрыватель
Переданная другому страховому учреждению часть страховой ответственности; перестраховка
Сильная усталость, утомленность; переутомление
Ухудшение состояния здоровья вследствие чрезмерной работы, постоянного нервного напряжения; переутомление
Повторяемость явления или действия через определенные промежутки времени; периодичность
Ритмические сокращения стенок полых органов (пищевода, желудка, кишок), при посредстве которых осуществляется продвижение пищевых масс; перистальтика
Семейство жуков с перистым строением крыльев и с бахромой из волосков на них; перистокрылые; перистокрылки
Дневная бабочка семейства нимфалид с серебристыми или перламутровыми пятнами, крапинками на нижней стороне крыльев; перламутровка
Прямая линия, пересекающая данную прямую под прямым углом (в 90 градусов); перпендикуляр
Древесные материалы, получаемые в результате пилки; пиломатериалы
Руководитель пионерского отряда, пионерской дружины (в СССР и некоторых других странах); пионервожатый
Занятие, поведение плагиатора; плагиаторство
Плакировочная мастерская; плакировальня
Устройство, прибор для гашения пламени; пламегаситель
Вещество, устраняющее пламя при вспышке горючих смесей; пламегаситель
Деятельность плантатора; плантаторство
Сосуд для сплевывания слюны, мокроты; плевательница
Изгнание, уничтожение зародыша, плода; плодоизгнание
Изображение в одной плоскости; плоскостность
Нахождение в одной плоскости; плоскостность
Рассказ о событии; повествование
Семейство двудольных раздельнолепестных растений; повойничковые
Движение повстанцев; повстанчество
Способность повторяться; регулярное повторение; повторяемость
Способность поглощать; поглощаемость
Белый воротничок, прикрепляемый снизу под стоячий воротничок форменной одежды; подворотничок
Выражение преданности и смирения, признание власти над собой; подданичество
Столик, доска под стенным зеркалом или трюмо; подзеркальник
Прибор для подогревания; подогреватель
Часть, раздел, входящий в состав более крупной единицы; подразделение
Войсковая единица меньше полка или отдельного батальона, дивизиона и т. п., входящая в состав воинской части; подразделение
Сорное однолетнее растение; подсвекольник
Дополнительное освещение; подсвечивание
Дар, взнос, сделанный в пользу лица или учреждения; пожертвование
Возможность познания; познаваемость
Процесс образования полимеров; полимеризация
Инструмент для полирования в виде гладкого бруска стали; полировальник
Поведение и деятельность политикана; политиканство
Растение с древесными нижними и травянистыми верхними частями; полукустарник
Неполное, неясно выраженное признание; полупризнание
Вещество, которое по своей способности проводить электричество занимает промежуточное положение между проводниками и изоляторами; полупроводник
Особо точные часы; полухронометр
Скрываемое намерение, желание; поползновение
Притязание на что-либо; требование; поползновение
Политика, направленная на поражение; пораженчество
Поведение, поступки, приводящие к поражению; пораженчество
Деятельность посадника; посадничество
Явление, состоящее в том, что действие на что-либо обнаруживается не только в момент применения, но и в последующий период; последействие
Акт высших органов государственной власти; постановление
Коллективное решение, резолюция; постановление
Процесс отделения у млекопитающих пота специальными потовыми железами, расположенными на различных участках кожи; потоотделение
Любовь к поучениям, назиданию; желание поучать; поучительство
Расположение зачатков листа, стебля или цветка в почке по отношению друг к другу; почкосложение
Сходство с правдой; правдоподобие
Высший исполнительный и распорядительный орган государственной власти, осуществляющий непосредственное управление государством; правительство
Тот, кому предоставлены все или отдельные права и обязанности другого лица; правопреемник
Совокупность правовых взглядов людей, выражающих оценку действующего права, существующего общественного и государственного строя, правомерность или неправомерность поведения граждан; правосознание
Мать прадеда или прабабушки; прапрабабушка
Обладание более высокими достоинствами, качествами по сравнению с кем-чем-либо; превосходство
Количественное превышение против чего-либо; превосходство
Поведение, действия предателя; предательство
Мысленное допущение; догадка, соображение о возможности, вероятности чего-либо; предположение
Лицо, действующее по поручению кого-либо, представляющее кого-либо, чьи-либо интересы; представитель
Выразитель, защитник идеи, взглядов, интересов и т. п.; представитель
Официальное письменное заявление, доклад в вышестоящую инстанцию, содержащие ходатайство; представление
Сценическое зрелище, спектакль; представление
Чувственно-наглядный образ явлений внешнего мира, являющийся результатом обобщения отдельных восприятий (в психологии); представление
Понимание чего-либо, знание о чем-либо, основанное на опыте; представление
Изначально предвзятое мнение; предубеждение
Уже сложившееся мнение, убеждение; предубеждение
Пост, должность президента; президентство
Деятельность на посту президента; президентство
Нарушение супружеской верности мужем или женой; внебрачная любовная связь; прелюбодеяние
Высокомерно-презрительное отношение, недостаток уважения; пренебрежение
Отсутствие должного внимания, полное безразличие; пренебрежение
Титул епископа; преосвященный
Помещение, где изготовляются препараты или проводится препаровка; препаровочная
Подарок, дар; преподношение
Гонение, притеснение; преследование
Способность прививаться; прививаемость
Чувство близости, основанное на глубокой симпатии, преданности; привязанность
Подготовительные действия, хлопоты по подготовке к делу; приготовления
Работник, занимающийся приемом и сдачей; приемосдатчик
Способность живых организмов или отдельных его органов, частей приживаться, прирастать к чему-либо а также приспосабливаться к новым условиям; приживаемость
Необходимость неподвижно оставаться в положении, на месте; прикованность
Причастность, касательство; прикосновение
Способность прилипать; прилипаемость
Возможность употребления, применения; применяемость
Способность применяться, приспосабливаться; применяемость
Способность притираться, подгоняться; притираемость
Легкая хромота; прихрамывание
Женщина, исполняющая обрядовые причитания; вопленица; причитальщица
Способность пробиваться, повреждаться от удара; пробиваемость
Манеры, привычки, вкусы и т. п., свойственные провинциалу, принятые в провинции; провинциализм
Способность пропускать сквозь себя воздух; продуваемость
Составление прожектов; прожектерство
Деятельность прозектора; прозекторство
Приспособление для проигрывания грампластинок; проигрыватель
Самец, производящий потомство; производитель
Способность тела пропускать сквозь себя; проницаемость
Приспособление для пропаривания; пропариватель
Насыщенность; пропитанность
Народ, люди, принадлежащие к непривилегированным слоям общества; простолюдины; простонародье
Экономическая политика государства, направленная на ограждение национальной экономики от иностранной конкуренции; протекционизм
Система протекций, покровительств в устройстве или дел; протекционизм
Одно из направлений христианства, которое объединяет вероучения, отколовшиеся от католицизма в ходе реформации XVI в.; протестантизм
Небольшое светлое пятно, появляющееся ночью в точке неба, противоположной Солнцу; противосияние
Обладание протяжением как одно из свойств материи (в философии); протяженность
Чесальная машина; прочесыватель
Четырехугольник, у которого все углы прямые (в геометрии); прямоугольник
Кристалл, форма которого не соответствует структуре образующего его минерала; псевдокристалл; псевдоморфоза
Специалист в области психоанализа; психоаналитик
Специалист в области психических и нервных заболеваний; психоневролог
Специалист в области психотерапии; психотерапевт
Промышленное предприятие по обработке и переработке домашней птицы и яиц; птицекомбинат
Устаревший способ переработки чугуна в сварочное железо посредством плавления в особых печах, где расплавленный чугун перемешивается с железистым шлаком; пудлингование
Семейство насекомоядных растений, с своеобразными приспособлениями в виде пузырьков для улавливания мелких насекомых; пузырчатковые
Прибор для распыления жидкости струей воздуха; пульверизатор
Прибор, машина для растирания твердого вещества в порошок; пульверизатор
Распыление жидкости или порошкообразной массы посредством пульверизатора; пульверизация
Нанесение металлического слоя на поверхность изделия посредством распыления расплавленного металла силою сжатого воздуха; металлизация; пульверизация
Отсутствие зерна у зерновых растений; пустозерница; пустозерность
Отсутствие зерен в колосе; пустоколосица
Помещичье владение с землей, не заселенной крепостными крестьянами, не имеющее усадьбы; пустопоместье
Поведение пустосвята; пустосвятство
Самоходная железнодорожная платформа, служащая для погрузки собранных звеньев железнодорожных рельсов; путепогрузчик
Передвижная машина или специальное устройство для подъема рельсов при ремонте железнодорожного или трамвайного пути; путеподъемник
Отряд костистых рыб с жабрами, состоящими из маленьких пучков (игла-рыба, морской конек и т. п.); пучкожаберные
Представители прогрессивного направления в общественной мысли, литературе, искусстве в Российском государстве 50-х годов XIX в.; пятидесятники
Один из двунадесятых праздников у христиан, отмечаемый на пятидесятый день после Пасхи; Троицын день, Троица; пятидесятница
Ученица пятого класса; пятиклассница
Кавалергардский полк; кавалергардия
Складывание корнеплодов, картофеля в кагаты; кагатирование
Деятельность казнокрада; казнокрадство
Специалист в области калориметрии; калориметрист
Болезнь растений, выражающаяся в обильном выделении камеди; гуммоз; камедетечение
Цикл административных и экономических дисциплин, преподававшихся в XVII–XVIII вв. в университетах некоторых западноевропейских государств, а со второй половины XIX в. – и в Российском государстве; камеральные науки; камералистика
Зверство, варварство, жестокость; каннибальство
Дирижер военного духового оркестра; капельмейстер
Способность жидкостей подниматься или опускаться по капиллярам; капиллярность
Содержание карбоната, карбонатов; карбонатность
Заболевание сердца, связанное с разрастанием соединительной ткани в мышце сердца; кардиосклероз
Философское учение Р. Декарта и его последователей; картезианство
Основа, самая суть; квинтэссенция
Вид искусства, произведения которого создаются с помощью киносъемки; киноискусство
Комплекс оборудования для демонстрации кинофильмов; киноустановка
Фестиваль произведений киноискусства; кинофестиваль
Раздел климатологии, посвященный описанию климата различных стран и изучению закономерностей географического распределения климатов; климатография
Деятельность кожевника; кожевенное ремесло; кожевничество
Материал – заменитель кожи; кожзаменитель
Отряд насекомых с твердыми передними и перепончатыми задними крыльями; уховертки; кожистокрылые
Травянистое растение семейства сложноцветных; козлобородник
Раздел математики, в котором изучаются различного рода соединения элементов: перестановки, сочетания, размещения; комбинаторика
Деятельность комедианта; комедиантство
Служебное помещение коменданта; комендантская
Пребывание в должности коменданта; комендантство
Применение сравнительно-исторического метода в языкознании, литературоведении и некоторых других науках; компаративизм
Специалист в области компаративизма; компаративист
Солдат или офицер, служащий в лейб-гвардии конном полку (в Российском государстве до 1917 г.); конногвардеец
Солдат или офицер гвардейской кавалерии; конногвардеец
Владелец конного завода; коннозаводчик
Высшее музыкальное учебное заведение; консерватория
Служащий в консистории; консисторский
Транспортное средство, предназначенное для перевозки контейнеров; контейнеровоз
Встречный аргумент в споре, опровергающий довод противника; контраргумент
Организация, создаваемая для противодействия разведке противника, для борьбы со шпионажем, диверсиями и т. п.; контрразведка
Система нравственно-философских взглядов, разработанная в V в. до н. э. китайским мыслителем Конфуцием; конфуцианство
Направление средневековой схоластической философии, отрицавшее реальное существование общих понятий независимо от единичных вещей, но считавшее их лишь словесными обозначениями, относимыми ко множеству сходных вещей; концептуализм
Спортсмен, занимающийся метанием копья; копьеметатель
Тепловая установка для запаривания корма (для животных, птицы); кормозапарник
Теория и практика полетов в космос; космоплавание
Идеология, заключающаяся в отказе от национальной самобытности, национальных традиций и культуры, в пренебрежении собственными национальными интересами и выдвигающая идеи единого мирового государства и гражданства; космополитизм
Производство паровых котлов; котлостроение
Состояние кочевника; кочевая жизнь; кочевничество
Пустое, бессодержательное красноречие; краснобайство
Семейство двудольных растений (травы, полукустарники и кустарники), цветки которых состоят из четырех лепестков, расположенных крест-накрест; крестоцветные
Процесс образования, развития и созревания клеток крови; кроветворение
Истечение крови внутрь организма как результат нарушения целостности кровеносных сосудов или повышенной их проницаемости; кровоизлияние
Массовое убийство, истребление людей; кровопролитие
Извлечение из организма некоторого количества крови с лечебной целью; кровопускание
Половая связь между близкими родственниками; кровосмешение
Выделение крови вместе с мокротой при кашле (обычно при заболеваниях легких, дыхательных путей); кровохаркание
Жена кронпринца; кронпринцесса
Усердие, тщательность, проявляемые в отношении к работе, занятию; кропотливость
Круговращательное движение; круговращение
Семейство двудольных растений, к которым относятся крыжовник и смородина; крыжовниковые
Особый грибок, окисляющий молоко и придающий ему лечебные свойства; лактобациллин
Метод осмотра полости гортани и нижележащих дыхательных путей с помощью ларингоскопа и других инструментов; ларингоскопия
Устройство для получения льда из воды; ледогенератор
Хранилище для льда; ледохранилище
Тонкая материя – обычно в виде узкой полоски – с нанесенной на нее клейкой массой, употребляемая для покрытия небольших повреждений кожи, удержания хирургических повязок и т. п.; лейкопластырь
Теория и практика составления словарей; лексикография
Раздел языкознания, занимающийся вопросами составления словарей и их изучения; лексикография
Огромное ископаемое дерево семейства плауновидных, относящееся к каменноугольному периоду; лепидодендрон
Заготовки леса; лесозаготовки
Бревна, брусья и т. п. как строительный материал; лесоматериалы
Лес, состоящий из лиственниц; лиственничник
Прокатка металла для получения металлических листов; листопрокатка
Сельскохозяйственное орудие, предназначенное для выкапывания лунок при посадке картофеля и рассады некоторых овощей; лункокопатель
Холодильная установка для производства искусственного льда; льдогенератор
Машина для теребления, выдергивания льна при уборке урожая; льнотеребилка
Холодное свечение некоторых веществ, вызываемое различными причинами (воздействием света, радиоактивным и рентгеновским излучениями, прохождением электрического тока, химическими процессами и т. п.); люминесценция
Деятельность магистранта; магистранство
Графическая запись изменения магнитного поля Земли, получаемая при помощи магнитографа; магнитограмма
Раздел химической кинетики, изучающий влияние процессов переноса вещества и тепла на скорость химических реакций (обычно в промышленных условиях); макрокинетика
Течение в экономической политике промышленной Англии XIX в., характеризующееся требованием невмешательства государства в частнопредпринимательскую деятельность и в свободу торговли для предпринимателей; фритредерство; манчестерство
Разведение маралов как отрасль животноводства; мараловодство
Организация перевозок маршрутными поездами; маршрутизация
Научная дисциплина, включающая теорию, конструирование и расчет на прочность деталей машин, изучение трения и износ в машинах; машиноведение
Период между двумя царствованиями, когда престол никем не замещен; междуцарствие
Средневековый немецкий поэт, музыкант и певец из ремесленно-цеховой среды, представитель песенной поэзии, развившейся на основе поэзии миннезингеров; мейстерзингер
Преувеличенная эмоциональность в противопоставлении добра и зла, свойственная мелодраме; мелодраматизм
Место, где обитают; местообитание
Скопление полезных ископаемых в земной коре; местонахождение полезных ископаемых в количестве, пригодном для промышленного использования; месторождение
Часть Вселенной, доступная современным астрономическим методам исследований; метагалактика
Научная дисциплина, изучающая структуру металлов и сплавов; металлография
Печатание с гравированных или травленых металлических пластинок с углубленным рисунком (в полиграфии); металлография
Строитель метрополитена; метростроевец
Метод лечения больных путем физических упражнений на специальных аппаратах; механотерапия
Научная дисциплина, изучающая микроорганизмы; микробиология
Частица космической пыли, размером близкая к размеру молекул; микрометеорит
Осуществление операций под микроскопом; микроскопическая хирургия; микрохирургия
Химические элементы, содержащиеся в животных и растительных организмах в очень малых количествах; микроэлементы
Подчинение экономики, политики и общественной жизни государства военным целям; милитаризация
Вещество, способствующее кристаллизации минералов из раствора или расплава; минерализатор
Разложение органических веществ на простые неорганические вещества или химические элементы; минерализация
Насыщение, насыщенность минеральными солями; минерализация
Совокупность взглядов, убеждений, определяющих отношение к действительности; мировоззрение
Христианский церковный обряд, заключающийся в крестообразном помазании миром (при крещении, венчании на царство); миропомазание
Совокупность взглядов на мир; понимание мира, действительности; миропонимание
Деятельность миссионера; миссионерство
Класс высших позвоночных животных, самки которых вскармливают детенышей молоком; млекопитающие
Наличие у некоторых растений, кроме обычных обоеполых цветков, также и однополых; многодомность
Геометрическая фигура, ограниченная замкнутой ломаной линией, звенья которой образуют более четырех углов; многоугольник
Дневная бабочка семейства нимфалид с пестрой окраской крыльев; многоцветница
Денежная система, при которой всеобщим эквивалентом и основой денежного обращения является один металл (обычно золото или серебро); монометаллизм
Установление монополии; монополизация
Скульптор, создающий монументы; монументалист
Постройка мостов; мостостроение
Велосипед с мотором; мотовелосипед
Боец мотопехоты; мотопехотинец
Выделение мочи из организма; мочевыделение
Болезнь нарушения обмена веществ, сопровождающаяся обильным, изнуряющим больного выделением мочи; диабет; мочеизнурение
Процесс образования мочи в почках и выделения ее из организма; мочеотделение
Поведение мошенника; плутовство, корыстный обман; мошенничество
Мстительный характер; мстительность
Мудреная, излишне затейливая мысль; мудрствование
Научная дисциплина, изучающая теорию и историю музыки, музыкальную культуру народов; музыкознание; музыковедение
Орган городского или сельского самоуправления; муниципалитет
Душевная мягкость, доброта, отзывчивость; мягкосердечие
Плановые заготовки мяса; мясозаготовки
Отбойка угля в забое обушком и наваливание его лопатой на конвейер; навалоотбойка
Доступность для наводнения; наводняемость
Скопление, груда; нагромождение
Верховая езда; наездничество
Занятие наездника; наездничество
Замещение должности по назначению; назначаемость
Состояние, положение наложницы; внебрачное сожительство; наложничество
Осадочное образование в виде ряда налегающих друг на друга слоев почвы; наслоение; напластование
Полнота, насыщенность; наполненность
Состояние напряжения; напряженность
Общественно-политическое движение, объединявшее лиц, боровшихся за идеи крестьянской демократии и перехода России к социализму через крестьянскую общину (в Российском государстве во второй половине ХIХ в.); народничество
Форма правления, при которой власть принадлежит народу; демократия; народовластие
Отряд наиболее примитивных млекопитающих животных, к которому относятся землеройки, кроты, ежи и т. п.; насекомоядные
Душевное состояние, настроение строй мыслей и характер склонностей, интересов; настроенность
Разведение животных или выращивание растений за пределами их обычного распространения; натурализация
Знания, основанные на механическом, некритическом усвоении прочитанного; начетничество
Способ усвоения, связанный с догматическим отношением к прочитанному; начетничество
Негармоничное, неприятное сочетание звуков; неблагозвучие
Психическое состояние, исключающее уголовную ответственность за совершенное преступление вследствие неспособности лица отдавать себе отчет в своих действиях; невменяемость
Неприезд, неприход обратно; невозвращение
Неумеренность в чем-либо, отсутствие воздержания; невоздержание
Тонкие протоплазматические нити в нервных клетках; неврофибриллы
Наличие недоимок у плательщиков налогов, сборов; недоимочность
Ошибочное, неполное понимание; недоразумение
Взаимное непонимание; недоразумение
Недостаточное снабжение; недоснабжение
Отсутствие сведений; неосведомленность; неизвестность
Скромное, незаметное существование; безвестность; неизвестность
Научная дисциплина, изучающая заболевания центральной и периферической нервной системы и представляющая собою сочетание хирургии и неврологии; нейрохирургия
Объявление нейтральным (на случай войны) определенного района или государства (в международном праве); нейтрализация
Химическая реакция, при которой раствор утрачивает кислотные свойства присоединением щелочей или щелочные свойства присоединением кислот; нейтрализация
Отсутствие любопытства; нелюбопытство
Краткость в передаче словами; лаконичность; немногословие
Общее название различных течений в искусстве второй половины XIX–XX вв., творческая практика которых основывалась на стилизации внешних форм искусства античности, эпохи Возрождения и классицизма; неоклассицизм
Отказ повиноваться; непослушание; неповиновение
Состояние, характеризующееся отсутствием движения; неподвижность
Обладание неполными правами; неполноправие
Свойство непостоянного; изменчивость; непостоянство
Непостоянный характер, поведение непостоянного человека; непостоянство
Отказ от активной борьбы со злом, противопоставление ему покорности, пассивности, смирения; непротивление
Отсутствие равноправия; неравноправие
Порядок, при котором должностное лицо не может быть отстранено от занимаемой должности иначе, как по приговору суда или за выслугой лет; несменяемость
Волнение, тревога; беспокойство; неспокойствие
Предприятие, осуществляющее добычу нефти и газа; нефтепромысел
Нефтяная скважина; нефтескважина
Сложный эфир глицерина и азотной кислоты, употребляемый как взрывчатое вещество и как лекарственный препарат; нитроглицерин
Печатание нот; нотопечатание
Искусственное удаление воды из тела (твердого, жидкого или газообразного); особый вид сушки; обезвоживание
