Водопад в Южной Африке; Тугела
Город в Бразилии; Баия
Город в Брестской области; Пинск
Город в Брянской обл.; Почеп
Город в Брянской области, стоящий на одноименной реке; Унеча
Город в Великобритании (графство Сатерленд); Брора
Город в Великобритании; Дадли
Город в Венгрии, на реке Тиса; Сегед
Город в Венгрии, порт на Дунае; Вац
Город в Венгрии; Байя
Город в Вологодской обл.; Тотьма
Город в Воронежской обл.; кондит. изделие; Калач
Город в Воронежской обл.; Калач
Город в Восточной Пруссии, переименованный поляками в Гданьск; Данциг
Город в ГДР, в котором находятся музеи Гёте, Шиллера, Листа; Веймар
Город в Гане; Ва
Город в Гватемале; Антигуа
Город в Гвиане; Ко
Город в Германии (музей карт, памятник игральным картам); Альтенбург
Город в Германии на р. Нейсе; Циттау
Город в Германии на реке Эльбе; Торгау
Город в Германии, где родился Ф. Энгельс; Бармен
Город в Германии, давший название известному парфюмерному продукту; Кельн
Город в Германии, родина К. Маркса; Трир
Город в Германии, родина Ф. Энгельса; Бармен
Город в Германии; Берлин
Город в Горьковской области; Выкса
Город в Греции; Лариса
Город в Гродненской обл.; Лида
Город в Грузии, в котором достопримечательностью являются храмы; Мцхета
Город в Грузии, недалеко от которого находится памятник грузинской архитектуры 11 века – кафедральный собор Алаверди; Телави
Город в Грузии; Абаша
Город в Дании; Вро
Город в Древней Греции; Ороп
Город в Египте, порт на реке Нил; Асуан
Город в Египте; Луксор
Город в Житомирской обл.; Андрушевка
Город в Заире; Икела
Город в Закарпатской области на реке Тиса; Тячев
Город в Закарпатье; Калуш
Город в Замбии; Ндола
Город в Западной Бенгалии (Индия); Асансол
Город в Запорожской области; Орехов
Город в Зимбабве; Уанки
Город в Ивано-Франковской области; Галич
Город в Ивановской обл.; Южа
Город в Ивановской области; Шуя
Город в Израиле; Ашдод
Город в Индии, в котором находится мавзолей Тадж-Махал; Агра
Город в Индии, в штате Бихар; Ранчи
Город в Индии, где вырыта самая глубокая в мире шахта по добыче золота; Колар
Город в Индии, где находится Храм любви; Агра
Город в Индии, сокровища которого искали герои романа А. Конан Дойла; Агра
Город в Индии; марка сигарет; Салем
Город в Индии; резкое обличение; Агра
Город в Индии; Агра
Город в Индонезии (на о. Калимантан); Джави
Город в Индонезии; Маланг
Город в Ираке; Ана
Город в Иране, административный центр остана Восточный Азербайджан; Тебриз
Город в Иране, порт на Каспийском море; Энзели
Город в Иране; амер. теннисист; вост. муз. инструмент; Чанг
Город в Иране; Мешхед
Город в Иркутской обл.; Ангарск
Город в Иркутской области; Тулун
Город в Испании, в Астурии; Хихон
Город в Испании, центр Астурии; Овьедо
Город в Испании; Байлен
Город в Италии недалеко от Рима; Сканно
Город в Италии, известный падающей башней; Пиза
Город в Италии, место проведения конкурсов скрипачей имени Н. Паганини; Генуя
Город в Италии, стоящий на одноименной реке; Парма
Город в Италии; марка отечественных телефонов; Парма
Город в Италии; Ала
Город в Йемене; Кишн
Город в КНДР; Канге
Город в Казахстане; спорт. клуб в Кыргызстане; Алга
Город в Казахстане; Акмола
Город в Калининградской области, порт на реке Неман?; Советск
Город в Калининградской области; Нёман
Город в Калининской области; Ржев
Город в Камбодже, в котором достопримечательностью являются храмы, дворцы; Ангкор
Город в Кампучии; Кахкае
Город в Канаде; Ошава
Город в Карелии, на верфях которого строились первые корабли Балтийского флота при Петре I; Олонец
Город в Кемеровской обл.; Юрга
Город в Кении; Либон
Город в Кзыл-Ординской области Казахстана; Аральск
Город в Киевской области на Украине; Узин
Город в Киевской области; Ирпень
Город в Киргизии и во Франции; Ош
Город в Кировской обл.; Кирс
Город в Китае в провинции Цзянсу; Уси
Город в Китае на реке Хуайхэ; Банбу
Город в Китае, администр. центр провинции Шэньси; Сиань
Город в Китае, в долине Янзцы; Дае
Город в Китае, в провинции Хубэй; Ичан
Город в Китае, в провинции Хэйлунцзян; Цзиси
Город в Китае, в провинции Шаньси; Датун
Город в Китае, религиозный центр ламаизма; Лхаса
Город в Китае, пров. Цзянсу; Янчжоу
Город в Китае; рус. писатель-сатирик; Инин
Город в Колумбии; Ибаге
Город в Коми, центр нефтяной промышленности; Ухта
Город в Коми; Емва
Город в Костромской обл.; Нея
Город в Костромской области; Галич
Город в Кот-д’Ивуаре, в 1960–83 столица государства Берег Слоновой Кости; Абиджан
Город в Кот-д’Ивуаре; Абоисо
Город в Краснодарск. крае; Ейск
Город в Краснодарском крае (с 1963); Абинск
Город в Краснодарском крае; Ейск
Город в Красноярск. крае; Ужур
Город в Красноярском крае; Абакан
Город в Курской обл.; Обоянь
Город в Кыргызстане; Токмак
Город в Латвии, на реке Лиелупе; Елгава
Город в Латвии, крупный курорт на берегу Рижского залива; Юрмала
Город в Латвии; приток Зап. Двины; Огре
Город в Латвии; Алсунга
Город в Ленингр. обл. на реке Волхов; Кириши
Город в Ленинградской обл.; Луга
Город в Ленинградской области на реке Тигода; Любань
Город в Ленинградской области; Тихвин
Город в Ливии на границе с Алжиром; Гат
Город в Ливии; Зуара
Город в Липецкой обл.; приток реки Воронеж; Усмань
Город в Липецкой обл.; Данков
Город в Липецкой области; Грязи
Город в Литве; Акмяне
Город в Луганской обл.; Брянка
Город в Львовской области; Сколе
Город в Люксембурге; Вильц
Город в Мавритании; Нема
Город в Македонии, климатический курорт; Охрид
Город в Малайзии; Ипох
Город в Марий Эл, через который проходит газопровод; Помары
Город в Марий-Эл; Волжск
Город в Марокко; Мекнес
Город в Мексике; Леон
Город в Могилевской области; Горки
Город в Молдавии, пристань на реке Прут; Леово
Город в Молдавии; Бельцы
Город в Молдове; Бельцы
Город в Монголии; Бярут
Город в Мордовии; Инсар
Город в Моск. обл.; Руза
Город в Моск. области; левый приток реки Москвы; Истра
Город в Моск. области; приток Волги; Дубна
Город в Моск. области; Видное
Город в Московской обл.; Лобня
Город в Московской области на реке Протва; Верея
Город в Московской области, в XIV–XV в. центр княжества; Верея
Город в Московской области; Рошаль
Город в Мьянме; Ката
Город в Наманганской обл.; Пап
Город в Нигерии, административный центр штата Анамбра; Энугу
Город в Нигерии; исп. художник; Кано
Город в Нигерии; Абеокута
Город в Нидерландах в провинции Дренте?; Ассен
Город в Нидерландах, в пров. Сев. Голландия?; Амстердам
Город в Нидерландах; Бреда
Город в Нижегородской обл. на границе с Мордовией; Сатис
Город в Нижегородской обл., родина А. Гайдара; Арзамас
Город в Николаевской области, где находится музей П. П. Шмидта; Очаков
Город в Новой Зеландии?; Гамильтон
Город в Новосибирской области, на одноименной реке; Каргат
Город в Новосибирской области; Купино
Город в Норвегии; Гамвик
Город в Одесской области; Рени
Город в Омской области, пристань на Иртыше; Тара
Город в Оренб. обл.; Ясный
Город в Оренбургской области; Гай
Город в Орловской обл.; Болхов
Город в Орловской области на реке Сосна; Ливны
Город в Павлодарской области, на реке Иртыш; Ермак
Город в Пакистане; Кветта
Город в Палестине?; Иерусалим
Город в Панаме; Чепо
Город в Пензенской обл.; Мокшан
Город в Пермской обл.; Нытва
Город в Пермской области с названием насекомого; Оса
Город в Перу, близ которого находятся гигантские наскальные изображения; Наска
Город в Перу; Ика
Город в Польше, административный центр одного из воеводств; Люблин
Город в Польше, порт в устье Одры; Щецин
Город в Польше, центр воеводства; Калиш
Город в Польше; Быдгощ
Город в Португалии; Абрантиш
Город в Прибалтике; Валка
Город в Приморском крае; Агау
Город в Псковской обл.; Дно
Город в Псковской области на реке Гдовка близ ее впадения в Чудское озеро; Гдов
Город в Республике Корее, порт на Японском море в провинции Кенсан-Намдо; Ульсан
Город в Ровенской области; Острог
Город в России (Красноярский край), с глиноземным комбинатом; Ачинск
Город в России, Алтайский; Бийск
Город в России, Амурская обл.; Тында
Город в России, Архангельская обл.; Вельск
Город в России, Башкирия; Бирск
Город в России, Белгородская обл.; Короча
Город в России, Брянская обл.; Злынка
Город в России, Бурятия; Кяхта
Город в России, Владимирская обл.; Александров
Город в России, Вологодская обл.; Сокол
Город в России, Воронежская обл.; Бобров
Город в России, Дагестан; Кизляр
Город в России, Ивановская обл.; Вичуга
Город в России, Иркутская обл.; Тайшет
Город в России, Калининградская обл.; Гусев
Город в России, Калужская обл.; Киров
Город в России, Калужскя обл.; Жиздра
Город в России, Карелия; Кемь
Город в России, Кировская обл.; Малмыж
Город в России, Коми; Печора
Город в России, Костромская обл.; Шарья
Город в России, Красноярский край; Канск
Город в России, Курская обл.; Обоянь
Город в России, Липецкая обл.; Грязи
Город в России, Магаданской обл.; Анадырь
Город в России, Марий ЭЛ; Волжск
Город в России, Мордовия; Инсар
Город в России, Мурманская обл.; Кола
Город в России, Нижегородская обл.; Сергач
Город в России, Новгородская обл.; Валдай
Город в России, Новосибирская обл.; Чулым
Город в России, Оренбургская обл.; Орск
Город в России, Орловская обл.; Волхов
Город в России, Пензенская обл.; Сурск
Город в России, Пермская обл.; Александровск
Город в России, Псковская обл.; Невель
Город в России, Ростовская обл.?; Константиновск
Город в России, Ростовская обл.; Асай
Город в России, Рязанская обл.; Ряжск
Город в России, Саратовская обл.; Аткарск
Город в России, Сахалинская обл.; Оха
Город в России, Свердловская обл.; Кушва
Город в России, Северная Осетия; Моздок
Город в России, Смоленская обл.; Велиж
Город в России, Татарстан; Альметьевск
Город в России, Тверская обл.; Андреаполь
Город в России, Тульская обл.; Белев
Город в России, Удмуртия; Глазов
Город в России, Ханты-Мансийский округ; Сургут
Город в России, Челябинская обл.; Касли
Город в России, Читинская обл.; Шилка
Город в России, Якутия; Мирный
Город в России, Ямало-Ненецкий нац. округ; Надым
Город в России, Ярославская обл.; Любим
Город в России, в Тверской обл.; Торжок
Город в России, столица Астраханского ханства с 1459 г.; Астрахань
Город в России; знаменитый парусный линкор (Наварин); Азов
Город в России; персонаж романа “Война и мир”; Ростов
Город в России; плавучий поплавок ограждения; Буй
Город в России; приток Волги; Самара
Город в России; река; марка стиральной машины; Вятка
Город в России; Азов
Город в Российской Федерации, столица Башкирии; Уфа
Город в Ростовской обл.; Аксай
Город в Румынии, недалеко от которого находится крепость Вилагош, где в 1849 перед царскими войсками генерала Паскевича капитулировали основные силы венгерских революционных войск; Арад
Город в Румынии; Бакэу
Город в Рязанской области, основанный в 16 веке, на гербе которого изображены снопы и улей с пчелами.; Шацк
Город в США, административный центр штата Нью-Йорк; Олбани
Город в США, в штате Колорадо; Ламар
Город в США; Алтес
Город в Савойских Альпах, столица первых зимних Олимпийских игр; Шамони
Город в Самарской обл.; Кинель
Город в Саратовской области, который еще в 1920 году назывался Екатериненштадт; Маркс
Город в Сардинии; Ольбия
Город в Саудовской Аравии; Медина
Город в Сахалинской обл.; Оха
Город в Сахаре; Адрар
Город в Свердл. обл.; Артемовский
Город в Свердловской обл.; Ивдель
Город в Свердловской области; Асбест
Город в Северной Индии; Барели
Город в Северной Италии, в котором проходил матч-турнир на первенство мира по шахматам между Карповым и Каспаровым; Мерано
Город в Северной Италии; Аоста
Город в Северной Корее; Кэсон
Город в Северо-восточном Китае; Ляоян
Город в Сербии; Ниш
Город в Сирии; Хама
Город в Словакии на одноименной реке; Нитра
Город в Словакии; Жилина
Город в Смоленской области; Вязьма
Город в Средней Азии, Кыргызстан; Ош
Город в Средней Азии; Нарын
Город в Сумской области, на Украине; Глухов
Город в Сьерра-Леоне; Бо
Город в Таджикистане; Куляб
Город в Таиланде; Нан
Город в Танзании, на берегу оз. Виктория; Мванза
Город в Тернопольской области на реке Збруч; Скалат
Город в Техасе; Амарилло
Город в Того; Анехо
Город в Туве; Чадан
Город в Тул. обл.; Алексин
Город в Тульской области, пристань на Оке; Алексин
Город в Тульской области; Липки
Город в Туркмении, областной центр; Ташауз
Город в Туркмении; Керки
Город в Туркменистане; Мары
Город в Турции на границе с Грузией; Посов
Город в Турции, адм. центр одноименного иля; Мараш
Город в Турции, адм. центр; Эдирне
Город в Турции, порт на Черном море; Синоп
Город в Турции, центр одноименного вилайета; Чорум
Город в Турции; Акшехир
Город в Тюменской обл. на одноименной реке; Ишим
Город в Удм. АССР; Глазов
Город в Удмуртии; Игра
Город в Узбекистане, в Ферганской обл.; Коканд
Город в Узбекистане, газовое месторождение; Газли
Город в Узбекистане, где находится бывший дворец Худояр-хана; Коканд
Город в Узбекистане; река в Дагестане; Акташ
Город в Узбекистане; Акташ
Город в Украине, Киевская обл.; Фастов
Город в Украине, Черкасская обл.; Канев
Город в Украине, в Черкасской области; Умань
Город в Украине; Броды
Город в Ульяновской области; Инза
Город в ФРГ; Лор
Город в Финляндии, где Блохин забил первый мяч за сборную СССР; Васа
Город в Финляндии, центр зимнего спорта; Лахти
Город в Финляндии; Аска
Город в Хабаровском крае; Амурск
Поселок в Хабаровском крае; Хор
Город в Хакасии; Теи
Город в Ханты-Мансийском авт. округе; Урай
Город в Харьковской обл.; Мерефа
Город в Хорватии, порт на реке Сава; Сисак
Город в Хорватии; Задар
Город в Хорезмской области; Шават
Город в Целиноградской обл., Казахстан; Атбасар
Город в Центральной Африке; Монгу
Город в Центральной Италии, в Тоскане; Лукка
Город в Центральной Италии; Пиза
Город в Центральной части Ирана; Наин
Город в Челябинской обл.; Оша
Город в Челябинской области; Миасс
Город в Черниговской обл.; Остер
Город в Черновицкой области на реке Днестр; Хотин
Город в Чехии, центр каменноугольного бассейна; Кладно
Город в Чехословакии?; Мост
Город в Чехословакии; Брно
Город в Читинской области на одноименной реке; Хилок
Город в Читинской области; Акима
Город в Чувашии на реке Сура; Ядрин
Город в Чувашии; левый приток Суры; Алатырь
Город в Чувашии; Алатырь
Город в Чукотском автономном округе; Певек
Город в Швейцарии, административный центр кантона; Фрибур
Город в Швейцарии; Баден
Город в Швеции; Кируна
Город в Шотландии; Данди
Город в Шри-Ланка; Джафна
Город в Шумере в 4–1 тысячелетии до н. э.; Эриду
Город в Элиде (Греция, Пелопоннес), где находится храм Аполлона, выстроенный Иктином, архитектором Парфенона (город в Европе); Бассы
Город в Эстонии с богатым историческим прошлым; Нарва
Город в Эстонии; река в Латвии; Пярну
Город в Эстонии; Валга
Город в Эфиопии; Асмара
Город в Ю. Америке, Колумбия; Кали
Город в Ю. Америке, Перу; Арекипа
Город в Ю. Америке, Эквадор; Куэнка
Город в Ю. Америке; Оруро
Город в Ю. Корее; Вонджу
Город в ЮАР; Бенони
Город в Югославии, на реке Сава; Крань
Город в Боснии и Герцеговине?; Сараево
Город в Южной Америке; Куско
Город в Южной Корее, центр провинции; Тэгу
Город в Южной Родезии; Умтали
Город в Якутии; Абага
Город в Ямало-Ненецком автономном округе; Надым
Город в Японии на о-ве Кюсю; Омута
Город в Японии на о-ве Сикоку; Коти
Город в Японии на о-ве Хонсю; Гифу
Город в Японии на острове Сикоку; Аки
Город в Японии на острове Хонсю?; Окаяма
Город в Японии на острове Хонсю; Агео
Город в Японии, в котором проходили олимпийские игры; Нагано
Город в Японии, в префектуре Фукуи, о. Хонсю; Обама
Город в Японии, давший название мощной электротехнической монополии; Хитати
Город в Японии, на о. Хонсю, адм. ц. префектуры Яманаси. Текст. пром-сть, центр шелководч. р-на. Произ-во хрусталя, ювелирных изделий; Кофу
Город в Японии, на о. Хонсю; Цу
Город в Японии, на о. Хоккайдо; Фурано
Город в Японии, на острове Кюсю; Явата
Город в Японии, на острове Хонсю; Акита
Город в Японии, промышленный пригород Осаки; Итами
Город в Японии, центр префектуры на острове Хонсю; Тояма
Город в Японии, центр шелковой промышленности; Фукуи
Город в Японии; Асахигава
Город в Ярославской области, архитектурный музей-заповедник, знаменитый своим колокольным звоном; Ростов
Город в африк. республике Кот-д’Ивуар; Адзопе
Город в Германии на р. Дунай; Ульм
Город в дельте Волги; Астрахань
Город в департаменте Сомма во Франции; Ам
Город в канадской провинции Ньюфаундленд; Нейн
Город, в котором базируется Аталанта?; Бергамо
Город, в котором базируется Кьево?; Верона
Город, в котором базируется Удинезе?; Удине
Город, в котором базируется Фиорентина?; Флоренция
Город в новой Зеландии; Опуа
Город в пригороде Парижа; Орли
Город в романе “Двенадцать стульев”; Арбатов
Город в северной Италии, центр Пьемонта; Турин
Город в северном Китае; Лоян
Город в северо-западном Иране; Эрак
Город в составе Больших Афин; Пирей
Город в средней Азии, Таджикистан; Хорог
Город в средней Азии, Туркменистан; Кушка
Город в центральн. части Китая; Ибинь
Город в центральной Индии; Нагпур
Город в центре о. Хонсю; Ина
Город в штате Айдахо; Москва
Город в штате Джорджия США; Огаста
Город в штате Махараштра (Индия); Амаравати
Город в штате Миссури; Ролла
Город во Вьетнаме; Кантхо
Город во Львовской обл.; Броды
Город во Франции (близ Парижа); Мо
Город во Франции на реке Ло; Каор
Город во Франции на реке Рона; Авиньон
Город во Франции у слияния рек Сона и Рона; Лион
Город во Франции, в Альпах; Аннеси
Город во Франции, департамент Арденны; Нуар
Город во Франции, который не сдала англичанам Жанна Д’Арк; Орлеан
Город во Франции, на реке Вьенна; Лимож
Город во Франции, на реке Рона; Арль
Город во Франции, на реке Сомма; Абвиль
Город во Франции, побратим Харькова; Лилль
Город во Франции, центр пр-ва худ. изделий из фарфора; Севр
Город во Франции, центр туризма на Лазурном берегу; Ницца
Город во Франции; река в Сибири; сов. историк; амер. архит.; Кан
Город во Франции; сорт красного вина; Бордо
Город во Франции; фр. карточн. мастер 17 в.; Труа
Город во Франции; Ангулем
Город гвардейской славы; Ельня
Город государства?; Столица
Город за Байкалом; Чита
Город и залив на Сахалине; Анива
Город и крупн. порт в Хорватии; Риека
Город и курорт в Швейцарии; Лугано
Город и один из главных морских портов Финляндии, у Финского залива.; Котка
Город и озеро в Армении; Севан
Город и озеро в Казахстане; Балхаш
Город и плато в Таиланде; Корат
Город и порт в Болгарии, административный центр области; Варна
Город и порт в Болгарии?; Варна
Город и порт в Великобритании; Дувр
Город и порт в Греции; Коринф
Город и порт в Дании; Орхус
Город и порт в Египте на Красном море; Суэц
Город и порт в Испании; Виго
Город и порт в Италии; Бари
Город и порт в Китае; Нинбо
Город и порт в Малайзии; Кланг
Город и порт в Марокко; Сале
Город и порт в Норвегии; Берген
Город и порт в Персидском заливе; Харк
Город и порт в Польше, расположенный на реке Висле; Тчев
Город и порт в России; Туапсе
Город и порт в Румынии, на Дунае; Галац
Город и порт в Танзании; Мтвара
Город и порт в Тунисе, центр одноименного вилайета; Сфакс
Город и порт в Финляндии; Оулу
Город и порт в Чили; Арика
Город и порт в Южной Корее; Пусан
Город и порт в Японии на о. Хонсю; Куре
Город и порт в Японии, на острове Хонсю; Акаси
Город и порт в Японии, на северо-востоке о. Кюсю, административный центр одноименной префектуры. (Оока, Ояма, Оита, Охта); Оита
Город и порт в Японии; Беппу
Город и порт на острове Ява; Тегал
Город и порт на севере Марокко; Танжер
Город и порт на северо-востоке Бразилии; Аракажу
Город и порт на юге Испании; Кадис
Город и порт на юге Шри-Ланки; Матара
Город и префектура в Японии, на острове Хонсю; Нагано
Город и провинция в Афганистане; Баглан
Город и провинция в Испании; Толедо
Город и провинция в Италии; фр. скульптор; Бари
Город и провинция в Италии; Бари
Город и провинция в Канаде; Квебек
Город и провинция в Южной Италии; Бари
Город и река в Азербайджане; Акстафа
Город и река в Белоруссии; Дисна
Город и река в Казахстане; Аягуз
Город и река в Коми; Инта
Город и река в Кыргызстане и Казахстане; Талас
Город и река в Кыргызстане; Нарын
Город и река в России; Чара
Город и река в Татарии; Агрыз
Город и река во Владимирской обл.; Киржач
Город и штат в Мексике; Агуаскальентес
Город каштанов и куплетистов?; Одесса
Город на Алтае; Бийск
Город на Аляске; Кандл
Город на Волге, Тверская обл.; Ржев
Город на Волге, где расположен “Дворец царевича Дмитрия”; Углич
Город на Волге, известный с XI в.; Ржев
Город на Даугаве; Рига
Город на Днепре; Канев
Город на Изере?; Се
Город на Иртыше; Омск
Город на Оке, научный центр биологических исследований РАН; Пущино
Город на Оке; Алексин
Город на Риони; Они
Город на Сахалине; Оха
Город на Украине, в Черниговской обл.; Нежин
Город на Украине, знаменит. своей кинопленкой; Шостка
Город на Украине, который некогда брал Суворов; Измаил
Город на Украине, основанный в 1437 г.; Герца
Город на Филиппинах; Илоило
Город на Черноморском побережье Крыма; Ялта
Город на Ю.-В. Вьетнама, адм. ц. пров. Ламдонг, центр производ. кофе, чая, каучука. Курорт; Далат
Город на юге Бангладеша; Кхулна
Город на юго-западе Франции; Каор
Город на южном берегу Крыма; Алушта
Город на берегу залива Сагами, о. Хонсю; Ито
Город на берегу озера Комо, в Италии; Торно
Город на востоке Болгарии; Ямбол
Город на востоке Канады?; Квебек
Город на востоке Кубы; Баямо
Город на востоке Мексики в штате Веракрус; Халапа
Город на гвинейском острове Бугенвиль; Сохано
Город на границе Китая и Читинской обл.; Ума
Город на западе Канады; Трейл
Город на западе Сенегала; Тиес
Город на левом притоке Юкона (Аляска); Ненана
Город на о. Сулавеси в Индонезии; Онан
Город на о. Флорес в Индонезии; Рео
Город на о. Хонсю, на берегу Японского моря; Ога
Город на о. Лусон (Филиппины); Апарри
Город на одном из островов Индонезии?; Таракан
Город на острове Англси у берегов Уэльса; Амлух
Город на острове Сицилия; Ликата
Город на острове Тимор; Окуси
Город на острове Хонсю, в котором находится древнейший музей мира; Нара
Город на острове Хонсю; Кирю
Город на р. Амазонке в Бразилии; Куари
Город на р. Гаррона во Франции; Бордо
Город на р. Скарп во Франции; Аррас
Город на р. Сомма во Франции; Амьен
Город на р. Ингулец; Александрия
Город на реке Абакан; Абаза
Город на реке Авр во Франции; Руа
Город на реке Десна; Ельня
Город на реке Евфрат; Ана
Город на реке Одре; Волин
Город на реке или море; стих. В. Маяковского; Порт
Город на реке или море; Порт
Город на севере Индии; Патна
Город на севере Казахстана?; Кустанай
Город на севере России; Тикси
Город на севере Шри-Ланки, столица первого сингальского государства; Анурадхапура
Город на северо-востоке Индии; Ранчи
Город на северо-востоке Китая; Ичунь
Город на северо-западе США; Кин
Город на юге Африки?; Кейптаун
Город на юге Испании; Ория
Город на юге Канады; Уинсор
Город на юге США; Даллас
Город на юге Судана; Икото
Город на юге Финляндии, который шведы называют Або; Турку
Город на юге Франции, административный центр департамента Верхние Пиренеи; Тарб
Город на юге Франции; Авиньон
Город на юго-востоке Австралии; Арампо
Город на юго-востоке США; Огаста
Город на юго-западе Румынии; Анина
Город на юго-западе от Мельбурна; Теранг
Город недалеко от впадения р. Надым в Обскую губу; Нори
Город оружейников; Тула
Город рождения и смерти великого импресс. Эдуарда Мане; Париж
Город с административными, промышленными и другими учреждениями; центр
Город с крыльями; Орел
Город северо-восточнее Нанта с музеем шпалер; Анже
Город среди озер в Литве; Тракай
Город ткачей во Франции; Лион
Город, “немецкая Венеция”; Линдау
Город, административный центр одноименного нома на севере Греции; Ксанти
Город, близ которого расположен музей-усадьба “Поленово”; Таруса
Город, в котором “сгорела” милиция; Самара
Город, в котором К. Э. Циолковский всю жизнь преподавал физику и математику; Калуга
Город, в котором был заключен мир в 1791 г. в результате победы России над Турцией; Яссы
Город, в котором был окружен император Наполеон III во время Франко-Прусской войны в 1871 г.; Седан
Город, в котором жил Оливер Твист; Лондон
Город, в котором жил композитор, прозванный “королем вальсов”; Вена
Город, в котором мы впервые встречаем великого комбинатора. (Ильф и Петров)?; Старгород
Город, в котором находится Крещатик; Киев
Город, в котором находится завод по производству универсальных колесных тракторов; Минск
Город, в котором находится могила Тараса Шевченко; Канев
Город, в котором находится самый большой храм Франции; Амьен
Город, в котором появилась первая могила неизвестного солдата; Париж
Город, в котором разворачиваются события пьесы У. Шекспира “Ромео и Джульетта”?; Верона
Город, в который был сослан, и где был впоследствии убит, император Петр III, супруг будущей императрицы Екатерины II; Робша
Город, в который удалился Лот с дочерьми; Сигор
Город, в который уехал барин по предположению дворника Тихона, так и не схлопотав ему медали (Ильф и Петров); Париж
Город, в честь взятия которого в Москве возвели первые триумфальные ворота; Азов
Город, возле которого в 279 г. до н. э. была одержана “пиррова победа”; Аускулум
Город, возле которого находятся так называемые “каменоломни фараонов”; Асуан
Город, возле которого происходила битва в 1941, СССР–Германия; Ельня
Город, входящий в “Золотое кольцо России”; Ростов
Город, входящий в “Золотое кольцо” России; Шуя
Город, где был убит Джон Кеннеди; Даллас
Город, где был умерщвлен царевич Димитрий; Углич
Город, где впервые был выписан штраф за вождение автомобиля в нетрезвом виде; Лондон
Город, где есть музей “Кон-Тики” – плота, на котором Тур Хейердал прошел от Перу до Полинезии; Осло
