Негодная вещь, вещи; шваль
Ответный удар, который в принципе можно получить в магазине; сдача
Ответственная должность; пост
Ответственное задание, общественная роль, обязанность; миссия
Ответственное задание, роль, поручение; миссия
Ответьте переводом на русский язык, кто угодил в норвежский водоворот?; никто
Отвечают: “Га-га-га”; гуси
Отвечающее нашим слабостям; милое
Отвлеченное понятие, теоретическое обобщение; абстракция
Отвлеченность; абстрактность
Отвод грунтовых и поверхностных вод от зданий, сооружений?; осушение
Отводящая мышца (анатом.); абдуктор
Отворот воротника; лацкан
Отворот на грудной части пальто?; лацкан
Отворот над застежкой на груди верхней одежды; лацкан
Отворот над застежкой на груди на верхней одежде; лацкан
Отворот пиджака, пальто на груди; лацкан
Отворот, отогнутый верхний угол полы пиджака, пальто?; лацкан
Отворот; отгиб
Отвратительная эриния со змеями вместо волос; мегера
Отвратительное питье; пойло
Отвратительное, мерзкое место или среда (перен.); клоака
Отвратительный запах; вонь
Отвратительный кровосос?; вампир
Отгадка русской загадки: “В лес идет – домой глядит, из леса идет – в лес глядит”; топор
Отглагольное образование, близкое к инфинитиву (ст.-слав); супин
Отгороженная сеткой площадка для содержания животных; вольер
Отгороженное место в амбаре для ссыпки зерна, муки; сусек
Отгороженное место в амбаре; сусека
Отгороженное место для одного животного; стойло
Отгороженное место, где в особых постройках складывали сжатый хлеб; Площадка для молотьбы сжатого хлеба; гумно
Отд. турнир чемп-та, формир. по силе команд; нотный знак; лига
Отд. турнир чемп-та, формир. по силе команд; лига
Отдай врагу; ужин
Отдал ребро женщине; Адам
Отдаленный предок, родоначальник; пращур
Отдел желудка жвачных животных; сетка
Отдел желудка у жвачных; сетка
Отдел задней конечности между голенью и лапой собаки; плюсна
Отдел задней конечности у животных; голень
Отдел магазина по продаже товаров одного вида; секция
Отдел организации, учреждения; сектор
Отдел передней конечности между предплечьем и лапой собаки; пясть
Отдел с узким кругом функций; пункт
Отдел учреждения, организации; секция
Отдел учреждения для отправки, отсылки чего-либо?; экспедиция
Отдел учреждения с определенной специализацией; сектор
Отдел, параграф в законе; артикул
Отдел, соответствующий средней эпохе палеогенового периода геологической истории Земли; эоцен
Отделение Департамента полиции, где сыщику всегда могли получить любые сведения о побывавших здесь преступниках; архив
Отделение в бане?; парилка
Отделение в бане; парная
Отделение в пассажирском вагоне; купе
Отделение в учреждении или учреждение, ведающее каким-нибудь специальным кругом дел?; стол
Отделение для вин?; бар
Отделение для одного стрелка в окопе, траншее; ячейка
Отделение завода, фабрики, занятое какой-нибудь частью производства; цех
Отделение или часть предприятия, учреждения, организации; филиал
Отделение крупной фирмы в другом городе; филиал
Отделение предприятия, учреждения?; филиал
Отделение фабрики, завода; цех
Отделение, а также место тайных собраний масонской организации; ложа
Отделка верха стены; полоса ткани, прикр. к верху сцены; падуга
Отделка верха стены; падуга
Отделка текстил. матер. для безусадки и несминаемости; форниз
Отделка тканей; аппретирование
Отделочная полоса на платочке; кайма
Отделочный материал, изразец; кафель
Отделочный материал; краска
Отдельная “черта” в портрете; штрих
Отдельная годичная ступень образования в высшей школе; курс
Отдельная жилая комната в монастыре?; келья
Отдельная жилая комната монаха в монастыре; келья
Отдельная комната в больнице, лечебном стационаре; палата
Отдельная комната монаха; келья
Отдельная комната, помещение особого назначения; камера
Отдельная линия в системе железных дорог, отклоняющаяся в сторону от основного пути; ветка
Отдельная линия родства; ветвь
Отдельная небольшая прядь волос; косица
Отдельная скала; столб
Отдельная стадия в развитии общества; фазис
Отдельная сцена в кинофильме; кадр
Отдельная сцена в фильме?; кадр
Отдельная усадьба у народов прибалтики; мыза
Отдельная усадьба, Прибалтика; мыза
Отдельная часть в многоголосом музыкальном произведении, исполняемая одним инструментом или одним певцом; партия
Отдельная часть действия, эпизод в пьесе, повести, романе; сцена
Отдельно разрабатываемая в карьерном поле часть толщи горных пород; уступ
Отдельно стоящая башня замка; донжон
Отдельно стоящая церковь; погост
Отдельно управляемая часть княжества на Руси; удел
Отдельное выступление в концерте; номер
Отдельное движение в классическом танце; па
Отдельное движение в танце, танцевальный шаг; па
Отдельное долговременное укрепление в системе крепостных сооружений; форт
Отдельное жилое помещение в гостинице; номер
Отдельное жилое помещение на судне на одного или несколько человек?; каюта
Отдельное жилое помещение на судне; каюта
Отдельное здание в ряду нескольких; корпус
Отдельное крестьянское хозяйство в Византии; стась
Отдельное крестьянское хозяйство; двор
Отдельное музыкальное произведение в ряду других сочинений того же композитора; опус
Отдельное музыкальное сочинение в ряду других сочинений этого же автора; опус
Отдельное положение, раздел в составе документа; пункт
Отдельное помещение в вагоне; тип кузова автомобиля; купе
Отдельное помещение в вагоне; купе
Отдельное помещение в доме для приготовления пищи; кухня
Отдельное помещение для 2–4 пассажиров в ж/д вагоне?; купе
Отдельное происшествие, небольшое событие?; эпизод
Отдельное слово или часть сложных слов – относящееся к прошлому; ретро
Отдельное состязание в беге; забег
Отдельное состязание в скачках, бегах, гонках; заезд
Отдельное состязание на скачках, бегах, гонках?; заезд
Отдельное состязание по плаванию; заплыв
Отдельное сочленение в составе чего-нибудь; колено
Отдельное укрепление в системе крепостных сооружений; форт
Отдельный выразительный фрагмент речи, книги, статьи; пассаж
Отдельный земельный участок с усадьбой; хутор
Отдельный кабинет в хлеву; стойло
Отдельный квадрат разграфленного пространства; клетка
Отдельный момент, отрезок времени в развитии процесса; этап
Отдельный момент, стадия в развитии чего-нибудь; этап
Отдельный момент, стадия какого-нибудь процесса; этап
Отдельный организм?; индивид
Отдельный предмет, изделие; вещь
Отдельный снимок, изображение на кинопленке, на телеэкране; кадр
Отдельный этап, стадия переговоров; раунд
Отделяемая часть документа; талон
Отдых от перемещения; привал
Отдых с трапезой на траве; пикник
Отдых, предоставляемый за сверхурочную работу; отгул
Отдыхающий без путевки; дикарь
Отель в Париже, где была установлена первая рулетка; суасон
Отесанный камень для кладки стен; квадр
Отец – Керк, сын – Майкл; династия американских киноартистов; Дуглас
Отец Агамемнона и Менелая; Атрей
Отец Ахилла; Пелей
Отец Владимира Набокова как член партии?; кадет
Отец Гвидона; Салтан
Отец Каина; Адам
Отец Тиля Уленшпигеля; Клаас
Отец Хама; Ной
Отец Юпитера в др.-рим. мифологии; Сатурн
Отец всех католиков; папа
Отец евреев; Иаков
Отец жены сына; сват
Отец изобретения; досуг
Отец наций в Китае; Мао
Отец предложения; спрос
Отец римской поэзии; Энний
Отец социологии в США; Уорд
Отец у тюрков; ата
Отец философии; досуг
Отец, породивший сироту Гавроша; Гюго
Отец, сын и святой дух в одном; троица
Отец; батя
Отеч. физикохимик, акад. АН с 1987; Осико
Отечественная гимнастка, олимпийская чемпионка; Бурда
Отечественная эстрадная группа, часто меняющая солистов; браво
Отечественные сигареты, “производящие” собственное название; дымок
Отечественный “Мерседес-2106”; лада
Отечественный композитор, оперы: “Рафаэль”, “Сон на Волге”; Аренский
Отечественный архитектор, возглавлявший направление конструктивизма; Веснин
Отечественный астроном, экономист; Струве
Отечественный атомный ледокол; Россия
Отечественный биатлонист; Бяков
Отечественный биолог, химик, физик, педагог; Флеров
Отечественный востоковед; Конрад
Отечественный географ, путешественник, землепроходец; Дежнев
Отечественный географ, путешественник, исследователь Арктики 18-го века; Лаптев
Отечественный географ, путешественник, исследователь Центральной Азии; Певцов
Отечественный географ, путешественник; Анучин
Отечественный заменитель джипа?; нива
Отечественный кинорежиссер, к/ф “Девочка ищет отца”; Голуб
Отечественный композитор, автор оперы “Иван Сусанин”; Кавос
Отечественный композитор, автор оперы “Илья Муромец”; Кавос
Отечественный композитор, опера “Анджело”; Кюи
Отечественный конструктор авиционных и ракетных двигателей; Исаев
Отечественный конструктор тяжелых танков; Духов
Отечественный конструктор, руководивший разработкой теплохода на подводных крыльях “Метеор”; Алексеев
Отечественный космический корабль?; Буран
Отечественный космонавт N 2; Титов
Отечественный космонавт; Александров
Отечественный математик и механик; Векуа
Отечественный металлург, член-корреспондент АН СССР; Старк
Отечественный мореплаватель, путешественник и географ, исследователь Арктики; Литке
Отечественный исполнитель, балалаечник; Андреев
Отечественный политический деятель; Акчурин
Отечественный поэт, педагог, просветитель прошлого; Герцен
Отечественный самолет-истребитель; миг
Отечественный селекционер, один из зачинателей селекции и сортоиспытания картофеля; Лорх
Отечественный селекционер, один из основоположников селекции и семеноводства зерновых культур; Юрьев
Отечественный скульптор, автор памятника Д. М. Карбышеву в Маутхаузене в Австралии; Цигаль
Отечественный театральный художник; Симов
Отечественный ученый, один из основателей научной школы по теории механизмов?; Ассур
Отечественный ученый, академик АН БССР; Лыков
Отечественный ученый-радиотехник, руководивший созданием первых мощных радиовещательных станций; Минц
Отечественный физик, профессор, ведущий одной из программ на ОРТ; Капица
Отечественный химик, основоположник агрохимии; Либих
Отечественный химик, фармацевт; Ловиц
Отечественный художник и график; Агин
Отечественный экономист, министр финансов, граф, “отец” и покровитель создания кредитно-расчетных учереждений в России в конце 19 в.; Витте
Отечественный экономист; Конюс
Отечество; родина
Отжатый виноградный сок; сусло
Отжатый сок винограда; сусло
Отзвук, отклик, отраженный звук; эхо
Отказ государства от уплаты долгов, гос. банкротство; дефолт
Отказ грузовладельца от прав в пользу страховщика; абандон
Отказ от воли к жизни; аскетизм
Откидная крышка какого-нибудь механизма; капот
Откидная крышка некоторых механизмов; женская одежда; капот
Откидная крышка некоторых механизмов; капот
Откидная часть корпуса (крышка), закрывающая двигатель автомобиля или какой-либо механизм?; капот
Откл. в сторону превышения рын. курса ценных бумаг, денег; лаж
Отклонение в сторону повышения рыночной цены золота; ажио
Отклонение движущегося судна от курса под влиянием ветра или течения; дрейф
Отклонение наоборот; норма
Отклонение от нормы?; аномалия
Отклонение от нормы; аберрация
Отклонение от официальных церковных догматов; ересь
Отклонение от предварительно согласованной политической линии; уклон
Отклонение от религиозных догматов; ересь
Отклонения поверхности жидкости от равновесного состояния; волны
Отколовшийся от ледника дрейфующий ледяной массив с глубоко погруженной подводной частью; айсберг
Откололось; скол
Откомпилированный код приложения, предназначенный для выполнения броузером; апплет
Откорм скота на естественных пастбищах; нагул
Откормленность?; сытость
Откос; склон
Открывает замок; нотный знак; знак отличия камергера; ключ
Открывает замок; ключ
Открывать здесь; верх
Открытая большая лодка у эскимосов; умиак
Открытая галерея с колоннами; айван
Открытая галерея, балкон в верхней части большого зала; хоры
Открытая галерея, балкон в верхней части большого здания (ответ во мн. ч.); хоры
Открытая галерея, примыкающая к зданию; лоджия
Открытая горная разработка; разрез
Открытая или закрытая площадка для верховой езды; манеж
Открытая часть сада или парка с газонами, статуями и т. п.; партер
Открытие, совершенное с помощью фомки; взлом
Открыто высказанное несогласие с господствующими воззрениями; ересь
Открытое возвышенное место; юр
Открытое или снабженное заслонкой отверстие в оборонительных сооружениях и бронебашнях для ведения огня из орудий?; амбразура
Открытое плодовое тело сумчатых грибов; апотеций
Открытое повреждение в тканях тела; рана
Открытое пространство за городом; физический термин; поле
Открытое пространство за городом; поле
Открытое с тыла полевое укрепление, применявшееся до начала XX века; люнет
Открытый внутренний двор в испанских домах; патио
Открытый водопровод?; канал
Открытый очаг в земляном полу в грузинск. жилище; кера
Открытый стол, за которым не сидят, а стоят; фуршет
Открытый широкий ворот рубашки; апаш
Откуда у колонка берут волосы для изготовления кистей; хвост
Откупорщик бутылок; штопор
Отливная раковина; унитаз
Отличающаяся по цвету или рисунку полоса по краю ткани, изделия; кайма
Отличающаяся цветом или выступающая окантовка по краям чего-либо (напр., ткани, обоев, клумбы); бордюр
Отличительный знак государства, города, рода; герб
Отличительный знак на вещи, предмете; метка
Отличительный знак на какой-либо вещи?; метка
Отличный работник, увольняемый по окончании работы; мавр
Отлогий берег, удобный для купальщиков и для принятия солнечных ванн; пляж
Отлогий берег, удобный для купания и солнечных ванн; пляж
Отложение от движения ледников; морена
Отложения в паровых котлах; шлам
Отложения водных потоков, слагающие речн. террасы; аллювий
Отложной воротник с цельными отворотами, обычно закругленными; шаль
Отлучение от церкви, проклятие; рассказ А. Куприна; анафема
Отлучение от церкви, проклятие; анафема
Отмена закона, решения; аболиция
Отмена, признание недействительным какого-либо решения или документа; аннулирование
Отмененное упражнение у штангистов; жим
Отменные фрукты в документе о списании; гниль
Отмеренное количество чего-либо (какого-нибудь вещества, лекарства); доза
Отметка в паспорте, означающая разрешение на въезд данному лицу на территорию другого государства; виза
Отметка, балл; оценка
Отмывочная комната; ванная
Относительное пеpепpоизводство товаpов; кризис
Отношение двух рациональных чисел; вид заряда для охоты; дробь
Отношение двух рациональных чисел; дробь
Отношение между семействами Монтекки и Капулетти в “Ромео и Джульетте”; вражда
Отношение противолежащего катета к гипотенузе прямоугольного треугольника; синус
Отношение субъективного к объективному; оценка
Отнюдь не поэзия?; проза
Отображающая часть монитора; экран
Отогнутый верхний угол полочки пальто, жакета, пиджака; лацкан
Оторвали мишке лапу... (автор); барто
Оторванный или отрезанный кусок ткани, кожи; лоскут
Отпадение звука в конце слова; апокопа
Отпадение одного или нескольких звуков в конце слова, например: “чтоб” вместо “чтобы”; апокопа
Отпетый игрок среди царей в “Махабхарате”; наль
Отпечаток лапы зверя; след
Отпечаток с гравюры; оттиск
Отпечаток текста на бумаге; оттиск
Отпечаток чего-нибудь на какой-нибудь поверхности; след
Отпечаток, который может простыть; след
Отплата за поражение; мексиканский сериал; реванш
Отплата за поражение; реванш
Отправление поезда; отъезд
Отправление чего-либо вплавь по течению реки; сплав
Отпрессованный сок винограда; сусло
Отпрыск Кенги в сказке про Винни-Пуха; ру
Отпрыск; клон
Отпуск по беременности и родам (разг.); декрет
Отпущение грехов, выдаваемое католич. церковью за плату или особые заслуги?; индульгенция
Отработавшая свеча; огарок
Отрава; зарин
Отравитель стрел, воспетый А. Пушкиным; анчар
Отравление?; интоксикация
Отравляющее вещество кожно-нарывного действия; иприт
Отравляющее вещество раздражающего действия; адамсит
Отравляющее вещество, действующее на слизистую оболочку носоглотки; адамсит
Отравляющий газ, названный по имени реки, в районе которой он был впервые применен; иприт
Отрадное жилище (романс); терем
Отрадное жилище (песенное); терем
Отражение звуковых волн от какого-либо препятствия; эхо
Отраженные от предмета тайна и тишина; тень
Отрасли и службы, связанные с полетами; авиация
Отрасль знания, изучающая трудовые процессы с целью создания наилучших условий труда?; эргономика
Отрасль материального производства, осуществляющая перевозки по воздуху; авиатранспорт
Отрасль медицины, изучающая лечебное воздействие минеральных вод?; бальнеология
Отрасль науки и техники, разрабатывающая теорию и методы автоматизации производственных процессов; автоматика
Отрасль науки, занимающаяся обнаружением признаков жизни во Вселенной; астробиология
Отрасль промышленности; авиастроение
Отрез ткани для одежды, обычно в раскроенном виде; купон
Отрез ткани; кусок
Отрезанный для еды плоский кусок чего-нибудь; ломоть
Отрезной талон; отрез материи на костюм; купон
Отрезной талон?; купон
Отрезок ветки с почками для посадки; росток
Отрезок времени в развитии какого-либо процесса; этап
Отрезок времени; год
Отрезок дистанции в спортивных соревнованиях; этап
Отрезок жизни, следующий за отрочеством; юность
Отрезок линии передачи, применяемый для настройки сверхвысокочастотных устройств?; шлейф
Отрезок перпендикуляра, опущенного из вершины геометрической фигуры на ее основание?; высота
Отрезок прямой линии определенной длины и направления?; вектор
Отрезок прямой, лежащий на пересечении двух граней многоугольника; ребро
Отрезок прямой, соединяющий две точки кривой и не пересекающий ее; хорда
Отрезок прямой, соединяющий центр окружности с какой-либо точкой окружности; радиус
Отрезок, соединяющий две точки дуги; хорда
Отрезок, соединяющий две точки кривой; хорда
Отрезок, соединяющий точку окружности с центром?; радиус
Отрезок, характеризующийся длиной и направлением в пространстве; вектор
Отречение от своей веры, религии; вероотступничество
Отрицание возможности разумного логического познания действительности?; иррационализм
Отрицание логики как средства познания, противопоставление ей интуиции, откровения; алогизм
Отрицание; не
Отрицат. заряженная частица; анион
Отрицательная реакция призывника на повестку из военкомата; неявка
Отрицательно заряженный ион?; анион
Отрицательный герой электрического поля; анион
Отрицательный ответ на просьбу; отказ
Отрицательный персонаж “Неуловимых мстителей”; лютый
Отрицательный электрод, полюс источника тока; катод
Отрок, подросток; юноша
Отросток генеалогического древа; ветвь
Отросток нейрона; аксон
Отросток нервной клетки?; аксон
Отросток растения; детка
Отросток, небольшой нарост; вырост
Отросток, выступ кости; апофиз
Отрыв самолета от земли; взлет
Отрывистые непроизвольные звуки, издаваемые при икании; икота
Отрывистый звук; удар
Отрывистый резкий звук, окрик; зык
Отрывистый удар чем-нибудь твердым, негромкий звук короткого и резкого удара; щелчок
Отрывная часть; талон
Отрывной талон ценной бумаги; купон
Отрывок речи, произнесенный в приподнятом тоне; тирада
Отрывок сочинения, текста?; фрагмент
Отряд вымерших бескилевых бегающих птиц; моа
Отряд вымерших бескилевых птиц, обитавших в лесах Новой Зеландии; моа
Отряд ископаемых пресмыкающихся, живших в мезойскую эру?; ихтиозавры
Отряд конницы А. Македонского; ала
Отряд конницы у А. Македонского; ила
Отряд крупных морских ластоногих млекопитающих (зоол.), в который входят ламантины и дюгони; сирены
Отряд млекопитающих; даманы
Отряд простейших одноклеточн. животных; амеба
Отряд римской конницы; ала
Отрядом книг уставил полку, Читал, читал, а все без толку: Там ... , там обман иль бред; В том совести, в том смысла нет (А. Пушкин, “Евгений Онегин”); скука
Отсвет заката на небе; зарево
Отсвет заката, пожара; зарево
Отсвет пожара или заката на небе; зарево
Отсветы на небе (облаках) от пожара, ярких огней на земле; зарево
Отсос: пыли из помещений; жидкостей и воздуха из тела; аспирация
Отсос пыли из помещений; аспирация
Отставка, увольнение со службы (устар.); абшид
Отставной генерал, губернатор Красноярского края; Лебедь
Отстающий, замыкающий, занимающий одно из последних мест; аутсайдер
Отстойник для любовника; балкон
Отступ в начальной строке текста; абзац
Отступ на книжной странице от верхнего края до начала текста; спуск
Отступление – в русской армии в 18 веке; сикурс
Отступление океана; отлив
Отступление от общепринятых взглядов; ересь
Отсутствие или ослабление pеакции оpганизма на внешние pаздpажения; кома
Отсутствие болевой чувствительности; аналгия
Отсутствие веселья, занимательности; скука
Отсутствие впечатлений, развлечений; скука
Отсутствие всех зубов, как следств. эмбрион. нарушений; адентия
Отсутствие выстрела при стрельбе вследствие неисправности оружия или патрона; осечка
Отсутствие выхода; тупик
Отсутствие голоса при сохранности шепотной речи; афония
Отсутствие движения и шума; покой
Отсутствие звонкого голоса вследствие заболевания; афония
Отсутствие звуков; тишина
Отсутствие или нарушение симметрии; асимметрия
Отсутствие или нарушение цветового зрения; ахроматопсия
Отсутствие или ограничение речи у детей; алалия
Отсутствие кислорода в крови; аноксемия
Отсутствие масти; ренонс
Отсутствие обвиняемого или подозреваемого на месте преступления; алиби
Отсутствие обвиняемого на месте преступления в момент его совершения как доказательство невиновности?; алиби
Отсутствие одежды; нагота
Отсутствие питания; афагия
Отсутствие порядка, полная путаница; хаос
Отсутствие признаков пола; асексуальность
Отсутствие просвета в трубчатом органе (мед.); атрезия
Отсутствие результата, но тоже результат (спорт.); ничья
Отсутствие рефлексов; арефлексия
Отсутствие речи?; немота
Отсутствие света, тьма; мрак
Отсутствие свободы, плен, рабство; неволя
Отсутствие соляной кислоты и пепсина в желудочн. соке; ахилия
Отсутствие сперматозоидов в семенной жидкости; аспермия
Отсутствие способности говорить; немота
Отсутствие стеснений и ограничений?; свобода
Отсутствие у организма пигментации, присущей данному виду; альбинизм
Отсутствие хрусталика в глазу; афакия
Отсутствие чувства меры на празднике; оргия
Отсутствие шума, безмолвие; тишина
Отсутствие этого у мужчины в Баварии дает повод для шутки, что он калека. Что это?; живот
Отсчетное устройство измерительного прибора; шкала
Оттава (страна); Канада
Оттаивание паром породы; пойнт
Оттенок и густота краски; колер
Оттенок исполнения; нюанс
Оттенок тона в живописи; валер
Оттенок, едва заметный переход, тонкое различие в чем-либо; нюанс
Оттиск с наименованем учреждения или др. сведениями на документах и инструмент для его нанесения; штамп
Оттиск со столбца типографского набора; гранка
Оттиск художественного изображения с печатной формы, выполненной при участии автора; эстамп
Оттиск, отпечаток с гравюры; эстамп
Оттиск, отпечаток, станковая гравюра или литография; эстамп
Оттиски со столбца типографского набора; гранки
Оттоманка как предмет мебели; диван
Отточенная сторона лезвия; фаска
Оттуда исходит смертельная угроза для землян в американском блокбастере “Армагеддон”; космос
Отход крахмально-паточного производства, сиропообразная жидкость темно-коричневого цвета; гидрол
Отход крахмального производства; мезга
Отход обработки льна, конопли; пакля
Отход производства растительного масла; шрот
Отход при обработке волокна, пряжи; угар
Отход при обработке волокна; отравление угарным газом; угар
Отход при обработке волокна; угар
Отход с/х производства (делают строительные и теплоизоляционные плиты, бумагу); костра
Отход с/х производства; мякина
Отход, получающийся из семян масличных растений после обезжиривания их растворителем, используется как корм для скота?; шрот
Отход, получаемый после переработки молока; обрат
Отходы деревообработки; опилки
Отходы из ткани?; ветошь
Отходы металла; лом
Отходы мукомольного производства, истертые оболочки зерна; отруби
Отходы обогащения полезных ископаемых; хвосты
Отходы от обработки льна и пеньки, прокладочный материал; пакля
Отходы от переработки пеньки, льна и др., используемые как протирочный материал, для набивки уплотнений (сальников) и т. п.; пакля
Отходы при молотьбе, используемые на корм; полова
Отходы при переработке волокнистых текстильных материалов (используется для выработки пряжи низких сортов, ваты); угары
Отходы при распиловке дров; опилки
Отходы произв. доменных и сталеплавильных цехов; скрап
Отходы спиртового производства и пивоварения в виде гущи; барда
Отходы, вещи, негодные к употреблению, но пригодные для переработки в качестве вторичного сырья; утиль
Отходы, остающиеся после отделения ястыка; икра
Отходы?; мусор
Отцовское напутствие; наказ
Отчаянный человек с вызывающим поведением, скандалист, дуэлянт (устар.); бретер
Отчество “джентльмена удачи” Василия; Алибабаевич
Отчество Б. Ахмадулиной; Ахатовна
Отчет о выполнении задания или обязательства; рапорт
Отчуждение от людей, нелюбовь к ним, человеконенавистничество?; мизантропия
Отшельник в раковине; рак
Отшлифованная грань камня; фасет
Отъем молока у буренок; дойка
Офиц. символ государства; знамя
Офицер (или прапорщик, мичман), состоящий при начальнике для выполнения поручений; адъютант
